"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"1","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,"yn"
"2","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,"yn"
"3","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,"yn"
"4","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,"yn"
"5","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,"yn"
"6","10","0",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,"yn"
"7","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,"yn"
"8","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,"yn"
"9","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,"yn"
"10","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,"yn"
"11","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,"yn"
"12","10","1",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,"yn"
"13","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,"yn"
"14","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,"yn"
"15","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,"yn"
"16","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,"yn"
"17","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,"yn"
"18","10","2",1,"n",0.3125,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,"yn"
"19","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,"yn"
"20","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,"yn"
"21","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,"yn"
"22","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,"yn"
"23","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,"yn"
