"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"51","8.2","2",0.238095238095238,"n",0.172413793103448,0.0636905026185624,3.1,16.1,29,0.0581388249819421,0.25,"N"
"52","8.8","2",0.333333333333333,"n",0.2,0.141980838897435,1.3,20.9,20,0.0758369562434244,0.25,"N"
"53","9.4","2",0.263157894736842,"n",0.185185185185185,0.0788502455439381,2.8,19,27,0.0774996901503023,0.25,"N"
"54","10","2",0.227272727272727,"n",0.166666666666667,0.0624627667009729,4,18.2,30,0.0831983826400026,0.25,"N"
"55","7.1","0",0,"a",0,0.103290071926382,2.1,17.9,23,0.0581388249819421,0.25,"N"
"56","7.6","0",0,"a",0,0.115028855189072,1.9,18.5,22,0.0614224861024591,0.25,"N"
"57","8.2","0",0,"a",0,0.0636905026185624,3.1,16.1,29,0.0581388249819421,0.25,"N"
"58","8.8","0",0,"a",0,0.141980838897435,1.3,20.9,20,0.0758369562434244,0.25,"N"
"59","9.4","0",0,"a",0,0.0788502455439381,2.8,19,27,0.0774996901503023,0.25,"N"
"60","10","0",0,"a",0,0.0624627667009729,4,18.2,30,0.0831983826400026,0.25,"N"
"61","7.1","1",0,"a",0,0.103290071926382,2.1,17.9,23,0.0581388249819421,0.25,"N"
"62","7.6","1",0,"a",0,0.115028855189072,1.9,18.5,22,0.0614224861024591,0.25,"N"
"63","8.2","1",0.25,"a",0.0689655172413793,0.0636905026185624,3.1,16.1,29,0.0581388249819421,0.25,"N"
"64","8.8","1",0.125,"a",0.05,0.141980838897435,1.3,20.9,20,0.0758369562434244,0.25,"N"
"65","9.4","1",0.25,"a",0.0740740740740741,0.0788502455439381,2.8,19,27,0.0774996901503023,0.25,"N"
"66","10","1",0.25,"a",0.0666666666666667,0.0624627667009729,4,18.2,30,0.0831983826400026,0.25,"N"
"67","7.1","2",1,"a",0.391304347826087,0.103290071926382,2.1,17.9,23,0.0581388249819421,0.25,"N"
"68","7.6","2",1,"a",0.409090909090909,0.115028855189072,1.9,18.5,22,0.0614224861024591,0.25,"N"
"69","8.2","2",0.75,"a",0.206896551724138,0.0636905026185624,3.1,16.1,29,0.0581388249819421,0.25,"N"
"70","8.8","2",0.875,"a",0.35,0.141980838897435,1.3,20.9,20,0.0758369562434244,0.25,"N"
"71","9.4","2",0.75,"a",0.222222222222222,0.0788502455439381,2.8,19,27,0.0774996901503023,0.25,"N"
"72","10","2",0.75,"a",0.2,0.0624627667009729,4,18.2,30,0.0831983826400026,0.25,"N"
"73","7.1","0",0.578947368421053,"n",0.458333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5,"N"
