"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"1","7.1","0",0.767857142857143,"n",0.728813559322034,0.421146172824716,13.8,0,59,0.0352156241968145,0.1,"yn","null"
"2","8.5","0",0.767857142857143,"n",0.728813559322034,0.429168190724552,15.8,0,59,0.047086836514185,0.1,"yn","null"
"3","10","0",0.767857142857143,"n",0.728813559322034,0.432042175860585,18.1,0,59,0.0638593362665621,0.1,"yn","null"
"4","11.4","0",0.767857142857143,"n",0.728813559322034,0.439026146876604,20,0,59,0.0814793185694562,0.1,"yn","null"
"5","12.8","0",0.767857142857143,"n",0.728813559322034,0.442013781076078,21.5,0,59,0.0990605016742904,0.1,"yn","null"
"6","14.3","0",0.767857142857143,"n",0.728813559322034,0.445016168629651,23.6,0,59,0.122187278749936,0.1,"yn","null"
"7","15.7","0",0.767857142857143,"n",0.728813559322034,0.448197794456877,25.3,0,59,0.143477884245153,0.1,"yn","null"
"8","17.1","0",0.767857142857143,"n",0.728813559322034,0.450052251610299,26.9,0,59,0.16382918458248,0.1,"yn","null"
"9","18.6","0",0.767857142857143,"n",0.728813559322034,0.452065353281174,28.6,0,59,0.18428688701505,0.1,"yn","null"
"10","20","0",0.767857142857143,"n",0.728813559322034,0.454171811518783,30.1,0,59,0.201045695779473,0.1,"yn","null"
"11","7.1","1",0.125,"n",0.11864406779661,0.421146172824716,13.8,0,59,0.0352156241968145,0.1,"yn","null"
"12","8.5","1",0.125,"n",0.11864406779661,0.429168190724552,15.8,0,59,0.047086836514185,0.1,"yn","null"
"13","10","1",0.125,"n",0.11864406779661,0.432042175860585,18.1,0,59,0.0638593362665621,0.1,"yn","null"
"14","11.4","1",0.125,"n",0.11864406779661,0.439026146876604,20,0,59,0.0814793185694562,0.1,"yn","null"
"15","12.8","1",0.125,"n",0.11864406779661,0.442013781076078,21.5,0,59,0.0990605016742904,0.1,"yn","null"
"16","14.3","1",0.125,"n",0.11864406779661,0.445016168629651,23.6,0,59,0.122187278749936,0.1,"yn","null"
"17","15.7","1",0.125,"n",0.11864406779661,0.448197794456877,25.3,0,59,0.143477884245153,0.1,"yn","null"
"18","17.1","1",0.125,"n",0.11864406779661,0.450052251610299,26.9,0,59,0.16382918458248,0.1,"yn","null"
"19","18.6","1",0.125,"n",0.11864406779661,0.452065353281174,28.6,0,59,0.18428688701505,0.1,"yn","null"
"20","20","1",0.125,"n",0.11864406779661,0.454171811518783,30.1,0,59,0.201045695779473,0.1,"yn","null"
"21","7.1","2",0.107142857142857,"n",0.101694915254237,0.421146172824716,13.8,0,59,0.0352156241968145,0.1,"yn","null"
"22","8.5","2",0.107142857142857,"n",0.101694915254237,0.429168190724552,15.8,0,59,0.047086836514185,0.1,"yn","null"
"23","10","2",0.107142857142857,"n",0.101694915254237,0.432042175860585,18.1,0,59,0.0638593362665621,0.1,"yn","null"
"24","11.4","2",0.107142857142857,"n",0.101694915254237,0.439026146876604,20,0,59,0.0814793185694562,0.1,"yn","null"
"25","12.8","2",0.107142857142857,"n",0.101694915254237,0.442013781076078,21.5,0,59,0.0990605016742904,0.1,"yn","null"
"26","14.3","2",0.107142857142857,"n",0.101694915254237,0.445016168629651,23.6,0,59,0.122187278749936,0.1,"yn","null"
"27","15.7","2",0.107142857142857,"n",0.101694915254237,0.448197794456877,25.3,0,59,0.143477884245153,0.1,"yn","null"
"28","17.1","2",0.107142857142857,"n",0.101694915254237,0.450052251610299,26.9,0,59,0.16382918458248,0.1,"yn","null"
"29","18.6","2",0.107142857142857,"n",0.101694915254237,0.452065353281174,28.6,0,59,0.18428688701505,0.1,"yn","null"
"30","20","2",0.107142857142857,"n",0.101694915254237,0.454171811518783,30.1,0,59,0.201045695779473,0.1,"yn","null"
"31","7.1","0",0,"a",0,0.421146172824716,13.8,0,59,0.0352156241968145,0.1,"yn","null"
"32","8.5","0",0,"a",0,0.429168190724552,15.8,0,59,0.047086836514185,0.1,"yn","null"
"33","10","0",0,"a",0,0.432042175860585,18.1,0,59,0.0638593362665621,0.1,"yn","null"
