"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"46","14.3","1",0.25,"a",0.0169491525423729,0.0323789924745446,20.1,0,59,0.103505124758825,0.1,"Bn","null"
"47","15.7","1",0.2,"a",0.0169491525423729,0.0343901068928207,21.3,0,59,0.120981149073455,0.1,"Bn","null"
"48","17.1","1",0.25,"a",0.0169491525423729,0.0349978163650131,23.3,0,59,0.144688410653727,0.1,"Bn","null"
"49","18.6","1",0.2,"a",0.0169491525423729,0.0368646577302836,24.4,0,59,0.162710335913654,0.1,"Bn","null"
"50","20","1",0.2,"a",0.0169491525423729,0.0378065147210141,25.5,0,59,0.179350092612305,0.1,"Bn","null"
"51","7.1","2",0.75,"a",0.0508474576271186,0.0222581329382209,12,0,59,0.0311851913721551,0.1,"Bn","null"
"52","8.5","2",0.8,"a",0.0677966101694915,0.0249024606059394,13.2,0,59,0.0391768702577432,0.1,"Bn","null"
"53","10","2",0.75,"a",0.0508474576271186,0.0269350528081072,15.3,0,59,0.0534109833298757,0.1,"Bn","null"
"54","11.4","2",0.75,"a",0.0508474576271186,0.0291675698183189,17.4,0,59,0.0702178326029635,0.1,"Bn","null"
"55","12.8","2",1,"a",0.0677966101694915,0.030631907457646,19,0,59,0.0861014842553464,0.1,"Bn","null"
"56","14.3","2",0.75,"a",0.0508474576271186,0.0323789924745446,20.1,0,59,0.103505124758825,0.1,"Bn","null"
"57","15.7","2",0.8,"a",0.0677966101694915,0.0343901068928207,21.3,0,59,0.120981149073455,0.1,"Bn","null"
"58","17.1","2",0.75,"a",0.0508474576271186,0.0349978163650131,23.3,0,59,0.144688410653727,0.1,"Bn","null"
"59","18.6","2",0.8,"a",0.0677966101694915,0.0368646577302836,24.4,0,59,0.162710335913654,0.1,"Bn","null"
"60","20","2",0.8,"a",0.0677966101694915,0.0378065147210141,25.5,0,59,0.179350092612305,0.1,"Bn","null"
