"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index"
"106","14.3","1",0.125,"a",0.0169491525423729,0.0220565070752437,27.5,0,59,0.147341338212553,2
"107","15.7","1",0.125,"a",0.0169491525423729,0.0232555711234283,29.1,0,59,0.167531884257276,2
"108","17.1","1",0.125,"a",0.0169491525423729,0.0244150146453359,32.1,0,59,0.188562725888569,2
"109","18.6","1",0.125,"a",0.0169491525423729,0.0252164598537406,32.9,0,59,0.208028824949838,2
"110","20","1",0.125,"a",0.0169491525423729,0.0260570377772833,37.3,0,59,0.223313266315199,2
"111","7.1","2",1,"a",0.0847457627118644,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"112","8.5","2",0.875,"a",0.11864406779661,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"113","10","2",0.875,"a",0.11864406779661,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"114","11.4","2",0.875,"a",0.11864406779661,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"115","12.8","2",0.8,"a",0.0677966101694915,0.0202284972483,25.9,0,59,0.1268963569865,2
"116","14.3","2",0.875,"a",0.11864406779661,0.0220565070752437,27.5,0,59,0.147341338212553,2
"117","15.7","2",0.875,"a",0.11864406779661,0.0232555711234283,29.1,0,59,0.167531884257276,2
"118","17.1","2",0.875,"a",0.11864406779661,0.0244150146453359,32.1,0,59,0.188562725888569,2
"119","18.6","2",0.875,"a",0.11864406779661,0.0252164598537406,32.9,0,59,0.208028824949838,2
"120","20","2",0.875,"a",0.11864406779661,0.0260570377772833,37.3,0,59,0.223313266315199,2
"121","7.1","0",0.851851851851852,"n",0.779661016949153,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"122","8.5","0",0.901960784313726,"n",0.779661016949153,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"123","10","0",0.901960784313726,"n",0.779661016949153,0.01254421043855,20.6,0,59,0.0751574888696496,3
"124","11.4","0",0.901960784313726,"n",0.779661016949153,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"125","12.8","0",0.833333333333333,"n",0.76271186440678,0.0134323388280037,25.9,0,59,0.1268963569865,3
"126","14.3","0",0.901960784313726,"n",0.779661016949153,0.0147646368752915,27.5,0,59,0.147341338212553,3
"127","15.7","0",0.901960784313726,"n",0.779661016949153,0.0155675584173905,29.1,0,59,0.167531884257276,3
"128","17.1","0",0.901960784313726,"n",0.779661016949153,0.0163439711108126,32.1,0,59,0.188562725888569,3
"129","18.6","0",0.901960784313726,"n",0.779661016949153,0.0168806822222983,32.9,0,59,0.208028824949838,3
"130","20","0",0.901960784313726,"n",0.779661016949153,0.0174435853686728,37.3,0,59,0.223313266315199,3
"131","7.1","1",0.0185185185185185,"n",0.0169491525423729,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"132","8.5","1",0,"n",0,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"133","10","1",0,"n",0,0.01254421043855,20.6,0,59,0.0751574888696496,3
"134","11.4","1",0,"n",0,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"135","12.8","1",0.037037037037037,"n",0.0338983050847458,0.0134323388280037,25.9,0,59,0.1268963569865,3
"136","14.3","1",0,"n",0,0.0147646368752915,27.5,0,59,0.147341338212553,3
"137","15.7","1",0,"n",0,0.0155675584173905,29.1,0,59,0.167531884257276,3
"138","17.1","1",0,"n",0,0.0163439711108126,32.1,0,59,0.188562725888569,3
"139","18.6","1",0,"n",0,0.0168806822222983,32.9,0,59,0.208028824949838,3
"140","20","1",0,"n",0,0.0174435853686728,37.3,0,59,0.223313266315199,3
"141","7.1","2",0.12962962962963,"n",0.11864406779661,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"142","8.5","2",0.0980392156862745,"n",0.0847457627118644,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"143","10","2",0.0980392156862745,"n",0.0847457627118644,0.01254421043855,20.6,0,59,0.0751574888696496,3
"144","11.4","2",0.0980392156862745,"n",0.0847457627118644,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"145","12.8","2",0.12962962962963,"n",0.11864406779661,0.0134323388280037,25.9,0,59,0.1268963569865,3
"146","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.0147646368752915,27.5,0,59,0.147341338212553,3
"147","15.7","2",0.0980392156862745,"n",0.0847457627118644,0.0155675584173905,29.1,0,59,0.167531884257276,3
"148","17.1","2",0.0980392156862745,"n",0.0847457627118644,0.0163439711108126,32.1,0,59,0.188562725888569,3
"149","18.6","2",0.0980392156862745,"n",0.0847457627118644,0.0168806822222983,32.9,0,59,0.208028824949838,3
"150","20","2",0.0980392156862745,"n",0.0847457627118644,0.0174435853686728,37.3,0,59,0.223313266315199,3
"151","7.1","0",0,"a",0,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"152","8.5","0",0,"a",0,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"153","10","0",0,"a",0,0.01254421043855,20.6,0,59,0.0751574888696496,3
"154","11.4","0",0,"a",0,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"155","12.8","0",0,"a",0,0.0134323388280037,25.9,0,59,0.1268963569865,3
"156","14.3","0",0,"a",0,0.0147646368752915,27.5,0,59,0.147341338212553,3
"157","15.7","0",0,"a",0,0.0155675584173905,29.1,0,59,0.167531884257276,3
"158","17.1","0",0,"a",0,0.0163439711108126,32.1,0,59,0.188562725888569,3
"159","18.6","0",0,"a",0,0.0168806822222983,32.9,0,59,0.208028824949838,3
"160","20","0",0,"a",0,0.0174435853686728,37.3,0,59,0.223313266315199,3
"161","7.1","1",0,"a",0,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"162","8.5","1",0.125,"a",0.0169491525423729,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"163","10","1",0.125,"a",0.0169491525423729,0.01254421043855,20.6,0,59,0.0751574888696496,3
"164","11.4","1",0.125,"a",0.0169491525423729,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"165","12.8","1",0.2,"a",0.0169491525423729,0.0134323388280037,25.9,0,59,0.1268963569865,3
"166","14.3","1",0.125,"a",0.0169491525423729,0.0147646368752915,27.5,0,59,0.147341338212553,3
"167","15.7","1",0.125,"a",0.0169491525423729,0.0155675584173905,29.1,0,59,0.167531884257276,3
"168","17.1","1",0.125,"a",0.0169491525423729,0.0163439711108126,32.1,0,59,0.188562725888569,3
"169","18.6","1",0.125,"a",0.0169491525423729,0.0168806822222983,32.9,0,59,0.208028824949838,3
"170","20","1",0.125,"a",0.0169491525423729,0.0174435853686728,37.3,0,59,0.223313266315199,3
"171","7.1","2",1,"a",0.0847457627118644,0.00984487123079043,16.6,0,59,0.0445288862264117,3
"172","8.5","2",0.875,"a",0.11864406779661,0.0112646554129367,18.3,0,59,0.0569944674396804,3
"173","10","2",0.875,"a",0.11864406779661,0.01254421043855,20.6,0,59,0.0751574888696496,3
"174","11.4","2",0.875,"a",0.11864406779661,0.0130145114795399,23.2,0,59,0.0998244760062544,3
"175","12.8","2",0.8,"a",0.0677966101694915,0.0134323388280037,25.9,0,59,0.1268963569865,3
"176","14.3","2",0.875,"a",0.11864406779661,0.0147646368752915,27.5,0,59,0.147341338212553,3
"177","15.7","2",0.875,"a",0.11864406779661,0.0155675584173905,29.1,0,59,0.167531884257276,3
"178","17.1","2",0.875,"a",0.11864406779661,0.0163439711108126,32.1,0,59,0.188562725888569,3
"179","18.6","2",0.875,"a",0.11864406779661,0.0168806822222983,32.9,0,59,0.208028824949838,3
"180","20","2",0.875,"a",0.11864406779661,0.0174435853686728,37.3,0,59,0.223313266315199,3
"181","7.1","0",0.901960784313726,"n",0.779661016949153,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"182","8.5","0",0.901960784313726,"n",0.779661016949153,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"183","10","0",0.901960784313726,"n",0.779661016949153,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"184","11.4","0",0.882352941176471,"n",0.76271186440678,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"185","12.8","0",0.88,"n",0.745762711864407,0.00957843587716998,24.9,0,59,0.119942285874187,4
"186","14.3","0",0.901960784313726,"n",0.779661016949153,0.00988186257745285,27.5,0,59,0.147341338212553,4
"187","15.7","0",0.901960784313726,"n",0.779661016949153,0.0104194312056686,29.1,0,59,0.167531884257276,4
"188","17.1","0",0.901960784313726,"n",0.779661016949153,0.0109392664723412,32.1,0,59,0.188562725888569,4
"189","18.6","0",0.9,"n",0.76271186440678,0.0115369830084847,32.6,0,59,0.205250254971041,4
"190","20","0",0.901960784313726,"n",0.779661016949153,0.0116755270476058,37.3,0,59,0.223313266315199,4
"191","7.1","1",0.0196078431372549,"n",0.0169491525423729,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"192","8.5","1",0,"n",0,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"193","10","1",0,"n",0,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"194","11.4","1",0.0196078431372549,"n",0.0169491525423729,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"195","12.8","1",0.02,"n",0.0169491525423729,0.00957843587716998,24.9,0,59,0.119942285874187,4
"196","14.3","1",0,"n",0,0.00988186257745285,27.5,0,59,0.147341338212553,4
"197","15.7","1",0,"n",0,0.0104194312056686,29.1,0,59,0.167531884257276,4
"198","17.1","1",0,"n",0,0.0109392664723412,32.1,0,59,0.188562725888569,4
"199","18.6","1",0,"n",0,0.0115369830084847,32.6,0,59,0.205250254971041,4
"200","20","1",0,"n",0,0.0116755270476058,37.3,0,59,0.223313266315199,4
"201","7.1","2",0.0784313725490196,"n",0.0677966101694915,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"202","8.5","2",0.0980392156862745,"n",0.0847457627118644,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"203","10","2",0.0980392156862745,"n",0.0847457627118644,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"204","11.4","2",0.0980392156862745,"n",0.0847457627118644,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"205","12.8","2",0.1,"n",0.0847457627118644,0.00957843587716998,24.9,0,59,0.119942285874187,4
"206","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.00988186257745285,27.5,0,59,0.147341338212553,4
"207","15.7","2",0.0980392156862745,"n",0.0847457627118644,0.0104194312056686,29.1,0,59,0.167531884257276,4
"208","17.1","2",0.0980392156862745,"n",0.0847457627118644,0.0109392664723412,32.1,0,59,0.188562725888569,4
"209","18.6","2",0.1,"n",0.0847457627118644,0.0115369830084847,32.6,0,59,0.205250254971041,4
"210","20","2",0.0980392156862745,"n",0.0847457627118644,0.0116755270476058,37.3,0,59,0.223313266315199,4
"211","7.1","0",0,"a",0,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"212","8.5","0",0,"a",0,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"213","10","0",0,"a",0,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"214","11.4","0",0,"a",0,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"215","12.8","0",0.111111111111111,"a",0.0169491525423729,0.00957843587716998,24.9,0,59,0.119942285874187,4
"216","14.3","0",0,"a",0,0.00988186257745285,27.5,0,59,0.147341338212553,4
"217","15.7","0",0,"a",0,0.0104194312056686,29.1,0,59,0.167531884257276,4
"218","17.1","0",0,"a",0,0.0109392664723412,32.1,0,59,0.188562725888569,4
"219","18.6","0",0.111111111111111,"a",0.0169491525423729,0.0115369830084847,32.6,0,59,0.205250254971041,4
"220","20","0",0,"a",0,0.0116755270476058,37.3,0,59,0.223313266315199,4
"221","7.1","1",0,"a",0,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"222","8.5","1",0.125,"a",0.0169491525423729,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"223","10","1",0.125,"a",0.0169491525423729,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"224","11.4","1",0.25,"a",0.0338983050847458,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"225","12.8","1",0.222222222222222,"a",0.0338983050847458,0.00957843587716998,24.9,0,59,0.119942285874187,4
"226","14.3","1",0.125,"a",0.0169491525423729,0.00988186257745285,27.5,0,59,0.147341338212553,4
"227","15.7","1",0.125,"a",0.0169491525423729,0.0104194312056686,29.1,0,59,0.167531884257276,4
"228","17.1","1",0.125,"a",0.0169491525423729,0.0109392664723412,32.1,0,59,0.188562725888569,4
"229","18.6","1",0.111111111111111,"a",0.0169491525423729,0.0115369830084847,32.6,0,59,0.205250254971041,4
"230","20","1",0.125,"a",0.0169491525423729,0.0116755270476058,37.3,0,59,0.223313266315199,4
"231","7.1","2",1,"a",0.135593220338983,0.00662812778521014,16.6,0,59,0.0445288862264117,4
"232","8.5","2",0.875,"a",0.11864406779661,0.00753861922672386,18.3,0,59,0.0569944674396804,4
"233","10","2",0.875,"a",0.11864406779661,0.00839523208308061,20.6,0,59,0.0751574888696496,4
"234","11.4","2",0.75,"a",0.101694915254237,0.00872260602888737,23.2,0,59,0.0998244760062544,4
"235","12.8","2",0.666666666666667,"a",0.101694915254237,0.00957843587716998,24.9,0,59,0.119942285874187,4
"236","14.3","2",0.875,"a",0.11864406779661,0.00988186257745285,27.5,0,59,0.147341338212553,4
"237","15.7","2",0.875,"a",0.11864406779661,0.0104194312056686,29.1,0,59,0.167531884257276,4
"238","17.1","2",0.875,"a",0.11864406779661,0.0109392664723412,32.1,0,59,0.188562725888569,4
"239","18.6","2",0.777777777777778,"a",0.11864406779661,0.0115369830084847,32.6,0,59,0.205250254971041,4
"240","20","2",0.875,"a",0.11864406779661,0.0116755270476058,37.3,0,59,0.223313266315199,4
"241","7.1","0",0,"n",0,0.154464687184201,1.1,16.5,24,0.0486627661746853,5
"242","8.5","0",0.5625,"n",0.333333333333333,0.0978923080044249,3.1,18.6,27,0.0736545834223382,5
"243","10","0",0.461538461538462,"n",0.25,0.135319936741528,2.6,22.3,24,0.101598148942839,5
"244","11.4","0",0.5,"n",0.178571428571429,0.115918307551526,3.8,21.6,28,0.112063315447455,5
"245","12.8","0",0.722222222222222,"n",0.433333333333333,0.0861158949789158,6,23.3,30,0.148256093072167,5
"246","14.3","0",0.545454545454545,"n",0.2,0.105686294136409,4.5,23.3,30,0.148256093072167,5
"247","15.7","0",0.4,"n",0.142857142857143,0.128460090166052,3.2,26,28,0.171024081496852,5
"248","17.1","0",0.727272727272727,"n",0.470588235294118,0.0780848457638555,6.9,23.1,34,0.183034129130455,5
"249","18.6","0",0.538461538461538,"n",0.194444444444444,0.0730114677901274,7.7,21.9,36,0.187879057495477,5
"250","20","0",0.8,"n",0.555555555555556,0.0815467399728874,6.9,21.9,36,0.187280491497631,5
"251","7.1","1",0.166666666666667,"n",0.0416666666666667,0.154464687184201,1.1,16.5,24,0.0486627661746853,5
"252","8.5","1",0.1875,"n",0.111111111111111,0.0978923080044249,3.1,18.6,27,0.0736545834223382,5
"253","10","1",0.230769230769231,"n",0.125,0.135319936741528,2.6,22.3,24,0.101598148942839,5
"254","11.4","1",0,"n",0,0.115918307551526,3.8,21.6,28,0.112063315447455,5
"255","12.8","1",0,"n",0,0.0861158949789158,6,23.3,30,0.148256093072167,5
"256","14.3","1",0,"n",0,0.105686294136409,4.5,23.3,30,0.148256093072167,5
"257","15.7","1",0,"n",0,0.128460090166052,3.2,26,28,0.171024081496852,5
"258","17.1","1",0.0454545454545455,"n",0.0294117647058824,0.0780848457638555,6.9,23.1,34,0.183034129130455,5
"259","18.6","1",0.153846153846154,"n",0.0555555555555556,0.0730114677901274,7.7,21.9,36,0.187879057495477,5
"260","20","1",0,"n",0,0.0815467399728874,6.9,21.9,36,0.187280491497631,5
"261","7.1","2",0.833333333333333,"n",0.208333333333333,0.154464687184201,1.1,16.5,24,0.0486627661746853,5
"262","8.5","2",0.25,"n",0.148148148148148,0.0978923080044249,3.1,18.6,27,0.0736545834223382,5
"263","10","2",0.307692307692308,"n",0.166666666666667,0.135319936741528,2.6,22.3,24,0.101598148942839,5
"264","11.4","2",0.5,"n",0.178571428571429,0.115918307551526,3.8,21.6,28,0.112063315447455,5
"265","12.8","2",0.277777777777778,"n",0.166666666666667,0.0861158949789158,6,23.3,30,0.148256093072167,5
"266","14.3","2",0.454545454545455,"n",0.166666666666667,0.105686294136409,4.5,23.3,30,0.148256093072167,5
"267","15.7","2",0.6,"n",0.214285714285714,0.128460090166052,3.2,26,28,0.171024081496852,5
"268","17.1","2",0.227272727272727,"n",0.147058823529412,0.0780848457638555,6.9,23.1,34,0.183034129130455,5
"269","18.6","2",0.307692307692308,"n",0.111111111111111,0.0730114677901274,7.7,21.9,36,0.187879057495477,5
"270","20","2",0.2,"n",0.138888888888889,0.0815467399728874,6.9,21.9,36,0.187280491497631,5
"271","7.1","0",0.555555555555556,"a",0.416666666666667,0.154464687184201,1.1,16.5,24,0.0486627661746853,5
"272","8.5","0",0.0909090909090909,"a",0.037037037037037,0.0978923080044249,3.1,18.6,27,0.0736545834223382,5
"273","10","0",0,"a",0,0.135319936741528,2.6,22.3,24,0.101598148942839,5
