"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"55","12.8","2",1,"a",0.0508474576271186,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"56","14.3","2",1,"a",0.0508474576271186,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"57","15.7","2",1,"a",0.0508474576271186,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"58","17.1","2",1,"a",0.0508474576271186,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"59","18.6","2",1,"a",0.0508474576271186,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"60","20","2",1,"a",0.0508474576271186,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"61","7.1","0",0.767857142857143,"n",0.728813559322034,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"62","8.5","0",0.767857142857143,"n",0.728813559322034,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"63","10","0",0.767857142857143,"n",0.728813559322034,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"64","11.4","0",0.767857142857143,"n",0.728813559322034,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"65","12.8","0",0.767857142857143,"n",0.728813559322034,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"66","14.3","0",0.767857142857143,"n",0.728813559322034,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"67","15.7","0",0.767857142857143,"n",0.728813559322034,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"68","17.1","0",0.767857142857143,"n",0.728813559322034,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"69","18.6","0",0.767857142857143,"n",0.728813559322034,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"70","20","0",0.785714285714286,"n",0.745762711864407,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"71","7.1","1",0.125,"n",0.11864406779661,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"72","8.5","1",0.125,"n",0.11864406779661,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"73","10","1",0.125,"n",0.11864406779661,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"74","11.4","1",0.125,"n",0.11864406779661,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"75","12.8","1",0.125,"n",0.11864406779661,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"76","14.3","1",0.125,"n",0.11864406779661,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"77","15.7","1",0.125,"n",0.11864406779661,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"78","17.1","1",0.125,"n",0.11864406779661,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"79","18.6","1",0.125,"n",0.11864406779661,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"80","20","1",0.0892857142857143,"n",0.0847457627118644,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"81","7.1","2",0.107142857142857,"n",0.101694915254237,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"82","8.5","2",0.107142857142857,"n",0.101694915254237,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"83","10","2",0.107142857142857,"n",0.101694915254237,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"84","11.4","2",0.107142857142857,"n",0.101694915254237,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"85","12.8","2",0.107142857142857,"n",0.101694915254237,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"86","14.3","2",0.107142857142857,"n",0.101694915254237,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"87","15.7","2",0.107142857142857,"n",0.101694915254237,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"88","17.1","2",0.107142857142857,"n",0.101694915254237,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"89","18.6","2",0.107142857142857,"n",0.101694915254237,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"90","20","2",0.125,"n",0.11864406779661,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"91","7.1","0",0,"a",0,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"92","8.5","0",0,"a",0,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"93","10","0",0,"a",0,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"94","11.4","0",0,"a",0,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"95","12.8","0",0,"a",0,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"96","14.3","0",0,"a",0,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"97","15.7","0",0,"a",0,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"98","17.1","0",0,"a",0,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"99","18.6","0",0,"a",0,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"100","20","0",0,"a",0,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"101","7.1","1",0,"a",0,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"102","8.5","1",0,"a",0,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"103","10","1",0,"a",0,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"104","11.4","1",0,"a",0,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"105","12.8","1",0,"a",0,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"106","14.3","1",0,"a",0,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"107","15.7","1",0,"a",0,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"108","17.1","1",0,"a",0,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"109","18.6","1",0,"a",0,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"110","20","1",0,"a",0,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"111","7.1","2",1,"a",0.0508474576271186,0.135469751163575,12.4,0,59,0.0311185908730597,0.3,"yn","null"
"112","8.5","2",1,"a",0.0508474576271186,0.139503209877435,13.8,0,59,0.0397619963956022,0.3,"yn","null"
"113","10","2",1,"a",0.0508474576271186,0.14489472461579,15.9,0,59,0.0536845578769371,0.3,"yn","null"
"114","11.4","2",1,"a",0.0508474576271186,0.148845182705206,18,0,59,0.0704709989736106,0.3,"yn","null"
"115","12.8","2",1,"a",0.0508474576271186,0.15149123006459,19.3,0,59,0.0855585724608011,0.3,"yn","null"
"116","14.3","2",1,"a",0.0508474576271186,0.153853502043104,20.8,0,59,0.103550546647168,0.3,"yn","null"
"117","15.7","2",1,"a",0.0508474576271186,0.15599260249717,22.3,0,59,0.12286802119634,0.3,"yn","null"
"118","17.1","2",1,"a",0.0508474576271186,0.15810139531428,24.1,0,59,0.144852779089959,0.3,"yn","null"
"119","18.6","2",1,"a",0.0508474576271186,0.159939550540376,25.4,0,59,0.16382918458248,0.3,"yn","null"
"120","20","2",1,"a",0.0508474576271186,0.162316001787482,26.6,0,59,0.180589371227661,0.3,"yn","null"
"121","7.1","0",0.785714285714286,"n",0.745762711864407,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
"122","8.5","0",0.785714285714286,"n",0.745762711864407,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"123","10","0",0.785714285714286,"n",0.745762711864407,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"124","11.4","0",0.767857142857143,"n",0.728813559322034,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"125","12.8","0",0.767857142857143,"n",0.728813559322034,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"126","14.3","0",0.785714285714286,"n",0.745762711864407,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"127","15.7","0",0.767857142857143,"n",0.728813559322034,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"128","17.1","0",0.767857142857143,"n",0.728813559322034,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"129","18.6","0",0.785714285714286,"n",0.745762711864407,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
"130","20","0",0.785714285714286,"n",0.745762711864407,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"131","7.1","1",0.0892857142857143,"n",0.0847457627118644,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
"132","8.5","1",0.0892857142857143,"n",0.0847457627118644,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"133","10","1",0.0892857142857143,"n",0.0847457627118644,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"134","11.4","1",0.125,"n",0.11864406779661,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"135","12.8","1",0.125,"n",0.11864406779661,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"136","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"137","15.7","1",0.125,"n",0.11864406779661,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"138","17.1","1",0.125,"n",0.11864406779661,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"139","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
