"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0"
"627",27,"9.4",26,"o",0.906237754513756,0.00558959792406875,0,0.0642500769925359,13.9,1,1,1.3,0.28
"628",28,"9.4",26,"o",0.906525106533149,0.00616791553455844,0,0.0582443078904216,14.3,1,1,1.3,0.28
"629",29,"9.4",26,"o",0.906801734472765,0.0068039103275877,0,0.0528160394182001,14.7,1,1,1.3,0.28
"630",30,"9.4",26,"o",0.907133461753876,0.00750319509649334,0,0.047911196673561,15.2,1,1,1.3,0.28
"631",31,"9.4",26,"o",0.907450674763154,0.00827132435616085,0,0.0434770477501331,15.7,1,1,1.3,0.28
"632",32,"9.4",26,"o",0.907754440117825,0.0091149024252141,0,0.039466483138398,16.2,1,1,1.3,0.28
"633",33,"9.4",26,"o",0.908045716226358,0.0100411543280703,0,0.0358373709483421,16.7,1,1,1.3,0.28
"634",34,"9.4",26,"o",0.90832536711613,0.0110579832585953,0,0.0325519931231298,17.2,1,1,1.3,0.28
"635",35,"9.4",26,"o",0.908646697837171,0.0121740332912904,0,0.0295782610593501,17.8,1,1,1.3,0.28
"636",36,"9.4",26,"o",0.908953623256024,0.013397983308879,0,0.0268852675595089,18.4,1,1,1.3,0.28
"637",37,"9.4",26,"o",0.909247227087651,0.0147400075934404,0,0.024445354977993,19,1,1,1.3,0.28
"638",38,"9.4",26,"o",0.909528480582457,0.0162112208366619,0,0.0222337465704328,19.6,1,1,1.3,0.28
"639",39,"9.4",26,"o",0.909798257217029,0.0178237638323105,0,0.0202282238811848,20.2,1,1,1.3,0.28
"640",40,"9.4",26,"o",0.910099538312034,0.0195908968729303,0,0.0184096972151388,20.9,1,1,1.3,0.28
"641",41,"9.4",26,"o",0.910387391777786,0.0215261035174961,0,0.016759956231109,21.6,1,1,1.3,0.28
"642",42,"9.4",26,"o",0.910662821966688,0.0236449930127661,0,0.0152626690374599,22.3,1,1,1.3,0.28
"643",43,"9.4",26,"o",0.910926729589099,0.0259645968215786,0,0.0139031731910941,23,1,1,1.3,0.28
"644",44,"9.4",26,"o",0.911179925177304,0.0285034964703371,0,0.0126682923079883,23.7,1,1,1.3,0.28
"645",45,"9.4",26,"o",0.911423140461421,0.0312819627416514,0,0.0115461747596299,24.4,1,1,1.3,0.28
"646",46,"9.4",26,"o",0.911657038030695,0.0343221072111626,0,0.010526151481949,25.1,1,1,1.3,0.28
"647",47,"9.4",26,"o",0.911913709427164,0.0376480472144471,0,0.00959894184389633,25.9,1,1,1.3,0.28
"648",48,"9.4",26,"o",0.912159807614681,0.041284659749327,0,0.00875576894563299,26.7,1,1,1.3,0.28
"649",49,"9.4",26,"o",0.912396065214194,0.0452603364067173,0,0.00798872913392017,27.5,1,1,1.3,0.28
"650",50,"9.4",26,"o",0.912623144657962,0.0496060188467516,0,0.00729069910401891,28.3,1,1,1.3,0.28
"651",51,"9.4",26,"o",0.912841646672563,0.0543554249496304,0,0.0066552537755068,29.1,1,1,1.3,0.28
"652",52,"9.4",26,"o",0.913052117535517,0.0595452947921073,0,0.00607659355246273,29.9,1,1,1.3,0.28
"653",53,"9.4",26,"o",0.913255055310371,0.0652156581738512,0,0.005549479780853,30.7,1,1,1.3,0.28
"654",54,"9.4",26,"o",0.913450915226528,0.0714101255663869,0,0.00506917738485128,31.5,1,1,1.3,0.28
"655",55,"9.4",26,"o",0.913640114339509,0.0781762045185294,0,0.00463140380550278,32.3,1,1,1.3,0.28
"656",56,"9.4",26,"o",0.913823035583128,0.0855656437272839,0,0.0042322834845558,33.1,1,1,1.3,0.28
"657",57,"9.4",26,"o",0.914000031305441,0.0936348071732322,0,0.0038683072373775,33.9,1,1,1.3,0.28
"658",58,"9.4",26,"o",0.914171426364715,0.102445080925759,0,0.00353629594481034,34.7,1,1,1.3,0.28
"659",59,"9.4",26,"o",0.914337520848903,0.112063315447455,0,0.00323336806716592,35.5,1,1,1.3,0.28
"660",60,"9.4",26,"o",NA,NA,NA,NA,36.3,1,1,1.3,0.28
"661",1,"10",1,"a",0.902679246521921,0.000437206886785837,2,0.902679246521921,10,1,1,1.3,0.28
"662",2,"10",3,"n",0.902679246521921,0.000484343567740615,0,0.814829822101382,10,1,1,1.3,0.28
"663",3,"10",3,"n",0.903016098866858,0.000536562205907381,0,0.735804447194366,10.3,1,1,1.3,0.28
"664",4,"10",3,"n",0.903339883885334,0.000594188970252781,0,0.664681503890871,10.6,1,1,1.3,0.28
"665",5,"10",3,"n",0.903651456228047,0.00065776899797353,0,0.600640408918834,10.9,1,1,1.3,0.28
"666",6,"10",3,"n",0.903951593111238,0.000727901220586905,0,0.542949854529165,11.2,1,1,1.3,0.28
"667",7,"10",3,"n",0.904241003182327,0.000805243583986174,0,0.490957521137151,11.5,1,1,1.3,0.28
"668",8,"10",3,"n",0.90452033416949,0.000890518767842038,0,0.444081061082,11.8,1,1,1.3,0.28
"669",9,"10",3,"n",0.904790179508175,0.00098452045156032,0,0.401800182972564,12.1,1,1,1.3,0.28
"670",10,"10",3,"n",0.905051084102993,0.00108812017842135,0,0.3636496911921,12.4,1,1,1.3,0.28
"671",11,"10",3,"n",0.89444804985876,0.00120227487435121,1,0.325265757118514,12.7,1,1,1.3,0.28
"672",12,"10",4,"n",0.9054674007867,0.00134415282647333,2,0.294517539663019,12.9,1,1,1.3,0.28
"673",13,"10",6,"n",0.9054674007867,0.0014844850574471,2,0.266676031124768,12.9,1,1,1.3,0.28
"674",14,"10",8,"n",0.9054674007867,0.00163946825270279,2,0.241466452754657,12.9,1,1,1.3,0.28
"675",15,"10",10,"a",0.9054674007867,0.001810632002078,2,0.218640001352944,12.9,1,1,1.3,0.28
"676",16,"10",12,"a",0.9054674007867,0.00199966558763448,2,0.197971393733051,12.9,1,1,1.3,0.28
"677",17,"10",14,"a",0.9054674007867,0.00220843465584415,2,0.179256643313586,12.9,1,1,1.3,0.28
"678",18,"10",16,"a",0.9054674007867,0.0024389996303847,2,0.162311046894901,12.9,1,1,1.3,0.28
"679",19,"10",18,"n",0.9054674007867,0.00269363604726753,2,0.146967361750894,12.9,1,1,1.3,0.28
"680",20,"10",20,"n",0.9054674007867,0.00297485701299375,2,0.133074155045061,12.9,1,1,1.3,0.28
"681",21,"10",22,"a",0.9054674007867,0.00328543800738612,2,0.120494309280538,12.9,1,1,1.3,0.28
"682",22,"10",24,"a",0.9054674007867,0.00362844427588627,2,0.109103669033837,12.9,1,1,1.3,0.28
"683",23,"10",26,"o",0.9054674007867,0.00400726108166208,0,0.098789815616361,12.9,1,1,1.3,0.28
"684",24,"10",26,"o",0.905784975805787,0.00442562711609545,0,0.0894823307479237,13.3,1,1,1.3,0.28
"685",25,"10",26,"o",0.906089827984434,0.00488595774307076,0,0.0810790296750324,13.7,1,1,1.3,0.28
"686",26,"10",26,"o",0.906382815742261,0.00539235470057026,0,0.0734886392145062,14.1,1,1,1.3,0.28
"687",27,"10",26,"o",0.906664717340745,0.00594931259387825,0,0.0666295563011762,14.5,1,1,1.3,0.28
"688",28,"10",26,"o",0.906936240333652,0.006561755939205,0,0.0604287592868882,14.9,1,1,1.3,0.28
"689",29,"10",26,"o",0.907198029683709,0.00723507965321906,0,0.0548208513612961,15.3,1,1,1.3,0.28
"690",30,"10",26,"o",0.907512471513711,0.00797519330563531,0,0.0497506063093756,15.8,1,1,1.3,0.28
"691",31,"10",26,"o",0.907813665551181,0.00878797102626354,0,0.045164280277108,16.3,1,1,1.3,0.28
"692",32,"10",26,"o",0.908102550295741,0.00968036873616338,0,0.0410137981019134,16.8,1,1,1.3,0.28
"693",33,"10",26,"o",0.908379972365075,0.0106599950996843,0,0.0372561127864029,17.3,1,1,1.3,0.28
"694",34,"10",26,"o",0.908646697837171,0.0117351718707863,0,0.0338526438576142,17.8,1,1,1.3,0.28
