"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0","iter_id"
"46",46,"7.1",26,"o",0.909102027215682,0.0174821852832522,0,0.00951054630284541,18.7,1,1,1.3,0.1,16
"47",47,"7.1",26,"o",0.909389340898689,0.0192301686278218,0,0.00864878943393105,19.3,1,1,1.3,0.1,16
"48",48,"7.1",26,"o",0.909664752381486,0.0211462437076928,0,0.00786749889881651,19.9,1,1,1.3,0.1,16
"49",49,"7.1",26,"o",0.909929091029807,0.0232461944384811,0,0.00715886612167812,20.5,1,1,1.3,0.1,16
"50",50,"7.1",26,"o",0.910183106309049,0.0255472593058568,0,0.0065158790042796,21.1,1,1,1.3,0.1,16
"51",51,"7.1",26,"o",0.910427477493894,0.0280682635491394,0,0.0059322352855217,21.7,1,1,1.3,0.1,16
"52",52,"7.1",26,"o",0.910662821966688,0.0308297632079406,0,0.00540226612568356,22.3,1,1,1.3,0.1,16
"53",53,"7.1",26,"o",0.910889702341545,0.033854202086959,0,0.00492086858319371,22.9,1,1,1.3,0.1,16
"54",54,"7.1",26,"o",0.911108632606258,0.0371660827868983,0,0.00448344584606871,23.5,1,1,1.3,0.1,16
"55",55,"7.1",26,"o",0.911320083438703,0.0407921530504913,0,0.00408585424253224,24.1,1,1,1.3,0.1,16
"56",56,"7.1",26,"o",0.91152448682615,0.0447616087824701,0,0.00372435619167065,24.7,1,1,1.3,0.1,16
"57",57,"7.1",26,"o",0.911722240093362,0.0491063152217953,0,0.00339557836997555,25.3,1,1,1.3,0.1,16
"58",58,"7.1",26,"o",0.911913709427164,0.0538610478743688,0,0.00309647446701505,25.9,1,1,1.3,0.1,16
"59",59,"7.1",26,"o",0.912099232970478,0.0590637549557212,0,0.0028242919862771,26.5,1,1,1.3,0.1,16
"60",60,"7.1",26,"o",NA,NA,NA,NA,27.1,1,1,1.3,0.1,16
"61",1,"7.6",1,"a",0.899375772655235,0.000230008281247602,0,0.899375772655235,7.6,1,1,1.3,0.1,16
"62",2,"7.6",1,"a",0.899702501976831,0.000255742136091288,0,0.809170632875261,7.8,1,1,1.3,0.1,16
"63",3,"7.6",1,"a",0.90001805807385,0.000284251889407187,0,0.728268181650781,8,1,1,1.3,0.1,16
"64",4,"7.6",1,"a",0.900323087417982,0.000315829095713392,0,0.65567665777211,8.2,1,1,1.3,0.1,16
"65",5,"7.6",1,"a",0.900618184497426,0.000350795286855468,0,0.590514321140058,8.4,1,1,1.3,0.1,16
"66",6,"7.6",1,"a",0.900903897115042,0.000389505001002421,0,0.531996653217322,8.6,1,1,1.3,0.1,16
"67",7,"7.6",1,"a",0.890372215906153,0.000432349113207002,1,0.473675038979765,8.8,1,1,1.3,0.1,16
"68",8,"7.6",2,"a",0.901315966063794,0.000485582440111285,2,0.426930875358352,8.9,1,1,1.3,0.1,16
"69",9,"7.6",4,"n",0.901315966063794,0.000538748295153263,0,0.384799614366074,8.9,1,1,1.3,0.1,16
"70",10,"7.6",4,"n",0.901709599763735,0.000597735217657435,0,0.346977506259272,9.2,1,1,1.3,0.1,16
"71",11,"7.6",4,"n",0.902086183057953,0.000662891043650919,0,0.313003614228394,9.5,1,1,1.3,0.1,16
"72",12,"7.6",4,"n",0.902446957243836,0.000734842253545893,0,0.282469159266738,9.8,1,1,1.3,0.1,16
"73",13,"7.6",4,"n",0.902793038805304,0.000814277501461332,0,0.255011190663197,10.1,1,1,1.3,0.1,16
"74",14,"7.6",4,"n",0.903125435226801,0.000901953677599124,0,0.230307092555405,10.4,1,1,1.3,0.1,16
"75",15,"7.6",4,"n",0.90344505841333,0.000998702552733018,0,0.208069804686722,10.7,1,1,1.3,0.1,16
"76",16,"7.6",4,"n",0.903752736134788,0.0011054380600487,0,0.188043655292656,11,1,1,1.3,0.1,16
"77",17,"7.6",4,"n",0.90404922183053,0.00122316427475118,2,0.170000720237494,11.3,1,1,1.3,0.1,16
"78",18,"7.6",6,"n",0.90404922183053,0.00135298415751578,2,0.153689018841336,11.3,1,1,1.3,0.1,16
"79",19,"7.6",8,"n",0.90404922183053,0.00149658240375036,2,0.138942437887408,11.3,1,1,1.3,0.1,16
"80",20,"7.6",10,"a",0.90404922183053,0.00165542137265498,2,0.125610802851348,11.3,1,1,1.3,0.1,16
"81",21,"7.6",12,"a",0.90404922183053,0.00183111863013727,2,0.113558348571269,11.3,1,1,1.3,0.1,16
"82",22,"7.6",14,"a",0.90404922183053,0.0020254634215929,2,0.102662336658216,11.3,1,1,1.3,0.1,16
"83",23,"7.6",16,"a",0.90404922183053,0.0022404348930158,2,0.0928118055671641,11.3,1,1,1.3,0.1,16
"84",24,"7.6",18,"n",0.90404922183053,0.00247822224599601,2,0.0839064405996812,11.3,1,1,1.3,0.1,16
"85",25,"7.6",20,"n",0.90404922183053,0.00274124703185748,2,0.0758555523307114,11.3,1,1,1.3,0.1,16
"86",26,"7.6",22,"a",0.90404922183053,0.0030321878119722,2,0.0685771530561047,11.3,1,1,1.3,0.1,16
"87",27,"7.6",24,"a",0.90404922183053,0.00335400743538342,2,0.0619971218557247,11.3,1,1,1.3,0.1,16
"88",28,"7.6",26,"o",0.90404922183053,0.0037099832115249,0,0.0560484497694005,11.3,1,1,1.3,0.1,16
"89",29,"7.6",26,"o",0.904428306056304,0.00410374028530535,0,0.0506918044820207,11.7,1,1,1.3,0.1,16
"90",30,"7.6",26,"o",0.904790179508175,0.00453738594626635,0,0.0458654468768809,12.1,1,1,1.3,0.1,16
"91",31,"7.6",26,"o",0.905136153296923,0.0050148488003404,0,0.0415144741553843,12.5,1,1,1.3,0.1,16
"92",32,"7.6",26,"o",0.9054674007867,0.0055404358582673,0,0.0375900030085025,12.9,1,1,1.3,0.1,16
"93",33,"7.6",26,"o",0.905784975805787,0.00611886839156615,0,0.0340484599655958,13.3,1,1,1.3,0.1,16
"94",34,"7.6",26,"o",0.906089827984434,0.00675532113581681,0,0.0308509632333616,13.7,1,1,1.3,0.1,16
"95",35,"7.6",26,"o",0.906454301688849,0.00745546515056216,0,0.0279649883341252,14.2,1,1,1.3,0.1,16
"96",36,"7.6",26,"o",0.906801734472765,0.00822486598240155,0,0.0253586999258953,14.7,1,1,1.3,0.1,16
"97",37,"7.6",26,"o",0.907133461753876,0.0090701921596827,0,0.0230037252493552,15.2,1,1,1.3,0.1,16
"98",38,"7.6",26,"o",0.907450674763154,0.00999874058459507,0,0.0208747459995936,15.7,1,1,1.3,0.1,16
"99",39,"7.6",26,"o",0.907754440117825,0.0110184948478933,0,0.0189491433674629,16.2,1,1,1.3,0.1,16
"100",40,"7.6",26,"o",0.908045716226358,0.0121381888767882,0,0.0172066884609838,16.7,1,1,1.3,0.1,16
"101",41,"7.6",26,"o",0.908379972365075,0.0133673763995406,0,0.0156302111886829,17.3,1,1,1.3,0.1,16
"102",42,"7.6",26,"o",0.908698821667984,0.0147156221033111,0,0.0142031544895779,17.9,1,1,1.3,0.1,16
"103",43,"7.6",26,"o",0.909003454801613,0.016194168796543,0,0.0129107165001073,18.5,1,1,1.3,0.1,16
"104",44,"7.6",26,"o",0.9092949356047,0.0178152995029896,0,0.0117396491285756,19.1,1,1,1.3,0.1,16
"105",45,"7.6",26,"o",0.909574218079459,0.0195924323400549,0,0.0106780821766514,19.7,1,1,1.3,0.1,16
"106",46,"7.6",26,"o",0.909842160667752,0.0215402239318346,0,0.00971536935939231,20.3,1,1,1.3,0.1,16
"107",47,"7.6",26,"o",0.910099538312034,0.0236746821185179,0,0.00884195316851382,20.9,1,1,1.3,0.1,16
