"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"2768",8,"9.4",3,"n",0.944731939456425,0.00382600918816654,0,0.602899173823585,10.9,0.5,0.7,1,8
"2769",9,"9.4",3,"n",0.944951354849157,0.00404983575591604,0,0.569710391142034,11.2,0.5,0.7,1,8
"2770",10,"9.4",3,"n",0.945162907652335,0.00428576109778954,0,0.538469129811554,11.5,0.5,0.7,1,8
"2771",11,"9.4",3,"n",0.945367073547638,0.00453441524534097,0,0.509050985445692,11.8,0.5,0.7,1,8
"2772",12,"9.4",3,"n",0.945564288284082,0.00479645988549703,0,0.481340432753267,12.1,0.5,0.7,1,8
"2773",13,"9.4",3,"n",0.945754951921378,0.00507258992849781,0,0.455230097836381,12.4,0.5,0.7,1,8
"2774",14,"9.4",3,"n",0.945939432532175,0.00536353515061425,0,0.430620100418913,12.7,0.5,0.7,1,8
"2775",15,"9.4",3,"n",0.946118069443146,0.00567006191533497,0,0.407417458071755,13,0.5,0.7,1,8
"2776",16,"9.4",3,"n",0.946291176081568,0.00599297497686751,0,0.385535545554884,13.3,0.5,0.7,1,8
"2777",17,"9.4",3,"n",0.946459042483044,0.00633311936996327,0,0.364893603289054,13.6,0.5,0.7,1,8
"2778",18,"9.4",3,"n",0.946621937507264,0.00669138239024932,0,0.345416289729491,13.9,0.5,0.7,1,8
"2779",19,"9.4",3,"n",0.946780110801216,0.00706869566943453,0,0.327033273062632,14.2,0.5,0.7,1,8
"2780",20,"9.4",3,"n",0.946933794543335,0.00746603734995301,0,0.309678858203125,14.5,0.5,0.7,1,8
"2781",21,"9.4",3,"n",0.947083204996972,0.00788443436381268,0,0.293291645546819,14.8,0.5,0.7,1,8
"2782",22,"9.4",3,"n",0.947276118340117,0.00832496482063357,0,0.277828171535176,15.2,0.5,0.7,1,8
"2783",23,"9.4",3,"n",0.947462233796753,0.00878831911778917,0,0.263231700014385,15.6,0.5,0.7,1,8
"2784",24,"9.4",3,"n",0.947641955901329,0.00927564055252298,0,0.249449403056864,16,0.5,0.7,1,8
"2785",25,"9.4",3,"n",0.947815655773272,0.0097881277783872,0,0.236432049540593,16.4,0.5,0.7,1,8
"2786",26,"9.4",3,"n",0.947983674611988,0.0103270374558242,0,0.224133723119535,16.8,0.5,0.7,1,8
"2787",27,"9.4",3,"n",0.948146326753019,0.0108936870247804,0,0.212511566277265,17.2,0.5,0.7,1,8
"2788",28,"9.4",3,"n",0.948303902349248,0.0114894576052269,0,0.201525547595081,17.6,0.5,0.7,1,8
