"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"1",1,"7.1",1,"a",0.887727261733853,0.000170446244193723,1,0.887727261733853,7.1,0,1,1,3
"2",2,"7.1",2,"a",0.898685911298887,0.000192002940025541,2,0.797787983196154,7.2,0,1,1,3
"3",3,"7.1",4,"a",0.898685911298887,0.000213648547964924,2,0.716960820701936,7.2,0,1,1,3
"4",4,"7.1",6,"a",0.898685911298887,0.000237734391158012,2,0.644322588518118,7.2,0,1,1,3
"5",5,"7.1",8,"a",0.898685911298887,0.000264535571515091,2,0.579043632632862,7.2,0,1,1,3
"6",6,"7.1",10,"a",0.898685911298887,0.000294358204784531,2,0.520378354674482,7.2,0,1,1,3
"7",7,"7.1",12,"a",0.898685911298887,0.0003275429169231,2,0.467656695890852,7.2,0,1,1,3
"8",8,"7.1",14,"a",0.898685911298887,0.000364468734632432,2,0.420276483921697,7.2,0,1,1,3
"9",9,"7.1",16,"a",0.898685911298887,0.000405557414498308,2,0.377696554950662,7.2,0,1,1,3
"10",10,"7.1",18,"a",0.898685911298887,0.000451278260178964,2,0.339430572680286,7.2,0,1,1,3
"11",11,"7.1",20,"a",0.898685911298887,0.000502153482663062,2,0.305041473531886,7.2,0,1,1,3
"12",12,"7.1",22,"a",0.898685911298887,0.000558764164820711,2,0.274136474624958,7.2,0,1,1,3
"13",13,"7.1",24,"a",0.898685911298887,0.000621756898373002,2,0.246362587518595,7.2,0,1,1,3
"14",14,"7.1",26,"o",0.898685911298887,0.000691851169085721,0,0.2214025864741,7.2,0,1,1,3
"15",15,"7.1",26,"o",0.89903716559663,0.000769847574538891,0,0.199049153799438,7.4,0,1,1,3
"16",16,"7.1",26,"o",0.899375772655235,0.000856302279815091,0,0.17901998649474,7.6,0,1,1,3
"17",17,"7.1",26,"o",0.899702501976831,0.000952107345839461,0,0.161064729753176,7.8,0,1,1,3
"18",18,"7.1",26,"o",0.90001805807385,0.00105824685798637,0,0.144961165296643,8,0,1,1,3
"19",19,"7.1",26,"o",0.900323087417982,0.00117580625021142,0,0.130511883895582,8.2,0,1,1,3
