"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","seeds","iter_id"
"29","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"30","10","1",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"31","7.1","2",0.357142857142857,"a",0.172413793103448,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,1,91
"32","7.6","2",0.5,"a",0.259259259259259,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,1,91
"33","8.2","2",0.636363636363636,"a",0.269230769230769,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,1,91
"34","8.8","2",0.777777777777778,"a",0.291666666666667,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,1,91
"35","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,1,91
"36","10","2",1,"a",0.25,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,1,91
"37","7.1","0",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"38","7.6","0",0.428571428571429,"n",0.214285714285714,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"39","8.2","0",0.571428571428571,"n",0.296296296296296,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"40","8.8","0",0.6,"n",0.36,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"41","9.4","0",0.6,"n",0.391304347826087,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"42","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"43","7.1","1",0,"n",0,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"44","7.6","1",0,"n",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"45","8.2","1",0.0714285714285714,"n",0.037037037037037,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"46","8.8","1",0.0666666666666667,"n",0.04,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"47","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"48","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"49","7.1","2",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"50","7.6","2",0.571428571428571,"n",0.285714285714286,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"51","8.2","2",0.357142857142857,"n",0.185185185185185,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"52","8.8","2",0.333333333333333,"n",0.2,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"53","9.4","2",0.266666666666667,"n",0.173913043478261,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"54","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"55","7.1","0",0.578947368421053,"a",0.379310344827586,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"56","7.6","0",0.642857142857143,"a",0.321428571428571,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"57","8.2","0",0.461538461538462,"a",0.222222222222222,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"58","8.8","0",0.3,"a",0.12,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"59","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"60","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"61","7.1","1",0.0526315789473684,"a",0.0344827586206897,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"62","7.6","1",0,"a",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"63","8.2","1",0,"a",0,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"64","8.8","1",0,"a",0,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"65","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"66","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"67","7.1","2",0.368421052631579,"a",0.241379310344828,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,1,97
"68","7.6","2",0.357142857142857,"a",0.178571428571429,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,1,97
"69","8.2","2",0.538461538461538,"a",0.259259259259259,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,1,97
"70","8.8","2",0.7,"a",0.28,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,1,97
"71","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,1,97
"72","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,1,97
"73","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"74","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"75","8.2","0",0.5,"n",0.222222222222222,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"76","8.8","0",0.538461538461538,"n",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"77","9.4","0",0.538461538461538,"n",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"78","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"79","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"80","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"81","8.2","1",0.0833333333333333,"n",0.037037037037037,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"82","8.8","1",0.0769230769230769,"n",0.04,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"83","9.4","1",0.153846153846154,"n",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"84","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"85","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"86","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"87","8.2","2",0.416666666666667,"n",0.185185185185185,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"88","8.8","2",0.384615384615385,"n",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"89","9.4","2",0.307692307692308,"n",0.173913043478261,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"90","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"91","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"92","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"93","8.2","0",0.533333333333333,"a",0.296296296296296,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"94","8.8","0",0.416666666666667,"a",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"95","9.4","0",0.2,"a",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"96","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"97","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"98","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"99","8.2","1",0,"a",0,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"100","8.8","1",0,"a",0,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"101","9.4","1",0.1,"a",0.0434782608695652,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"102","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"103","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,1,103
"104","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,1,103
"105","8.2","2",0.466666666666667,"a",0.259259259259259,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,1,103
"106","8.8","2",0.583333333333333,"a",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,1,103
"107","9.4","2",0.7,"a",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,1,103
"108","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,1,103
"109","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"110","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"111","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"112","8.8","0",0.4,"n",0.16,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"113","9.4","0",0.5,"n",0.25,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"114","10","0",0.571428571428571,"n",0.347826086956522,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"115","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"116","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"117","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"118","8.8","1",0.1,"n",0.04,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"119","9.4","1",0.0833333333333333,"n",0.0416666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"120","10","1",0.0714285714285714,"n",0.0434782608695652,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"121","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"122","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"123","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"124","8.8","2",0.5,"n",0.2,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"125","9.4","2",0.416666666666667,"n",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"126","10","2",0.357142857142857,"n",0.217391304347826,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"127","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"128","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"129","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"130","8.8","0",0.533333333333333,"a",0.32,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"131","9.4","0",0.416666666666667,"a",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"132","10","0",0.222222222222222,"a",0.0869565217391304,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"133","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"134","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"135","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"136","8.8","1",0,"a",0,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"137","9.4","1",0,"a",0,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"138","10","1",0,"a",0,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"139","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,1,109
"140","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,1,109
"141","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,1,109
"142","8.8","2",0.466666666666667,"a",0.28,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,1,109
"143","9.4","2",0.583333333333333,"a",0.291666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,1,109
"144","10","2",0.777777777777778,"a",0.304347826086957,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,1,109
"145","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"146","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"147","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"148","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"149","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"150","10","0",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"151","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"152","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"153","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"154","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"155","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"156","10","1",0.0909090909090909,"n",0.0434782608695652,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"157","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"158","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"159","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"160","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"161","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"162","10","2",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"163","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"164","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"165","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"166","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"167","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"168","10","0",0.416666666666667,"a",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"169","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"170","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"171","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"172","8.8","1",0.0769230769230769,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"173","9.4","1",0.0833333333333333,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"174","10","1",0,"a",0,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"175","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82,1,115
"176","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82,1,115
"177","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82,1,115
"178","8.8","2",0.538461538461538,"a",0.388888888888889,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82,1,115
"179","9.4","2",0.583333333333333,"a",0.411764705882353,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82,1,115
"180","10","2",0.583333333333333,"a",0.304347826086957,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82,1,115
"181","7.1","0",0.2,"n",0.133333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
"182","7.6","0",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,1,61
"183","8.2","0",0.375,"n",0.3,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,1,61
"184","8.8","0",0.428571428571429,"n",0.315789473684211,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,1,61
"185","9.4","0",0.384615384615385,"n",0.277777777777778,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,1,61
"186","10","0",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,1,61
"187","7.1","1",0,"n",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
"188","7.6","1",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,1,61
"189","8.2","1",0.1875,"n",0.15,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,1,61
"190","8.8","1",0.0714285714285714,"n",0.0526315789473684,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,1,61
"191","9.4","1",0.0769230769230769,"n",0.0555555555555556,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,1,61
"192","10","1",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,1,61
"193","7.1","2",0.8,"n",0.533333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
"194","7.6","2",1,"n",0.615384615384615,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,1,61
"195","8.2","2",0.4375,"n",0.35,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,1,61
"196","8.8","2",0.5,"n",0.368421052631579,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,1,61
"197","9.4","2",0.538461538461538,"n",0.388888888888889,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,1,61
"198","10","2",0.538461538461538,"n",0.411764705882353,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,1,61
"199","7.1","0",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
"200","7.6","0",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,1,61
"201","8.2","0",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,1,61
"202","8.8","0",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,1,61
"203","9.4","0",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,1,61
"204","10","0",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,1,61
"205","7.1","1",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
"206","7.6","1",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,1,61
"207","8.2","1",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,1,61
"208","8.8","1",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,1,61
"209","9.4","1",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,1,61
"210","10","1",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,1,61
"211","7.1","2",1,"a",0.333333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,1,61
