"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"641","9.4","1",0,"a",0,0.0598561134319912,14.9,0,59,0.047086836514185,0.46,1,1.3,1
"642","10","1",0,"a",0,0.0608165136717023,15.8,0,59,0.0532525310736428,0.46,1,1.3,1
"643","7.1","2",1,"a",0.0508474576271186,0.0552446579658421,12.3,0,59,0.0308423858115958,0.46,1,1.3,1
"644","7.6","2",1,"a",0.0508474576271186,0.0561287340691719,12.9,0,59,0.0340004172000557,0.46,1,1.3,1
"645","8.2","2",1,"a",0.0508474576271186,0.0571391656105689,13.5,0,59,0.0377567767012637,0.46,1,1.3,1
"646","8.8","2",1,"a",0.0508474576271186,0.0581191360420325,14.1,0,59,0.0418545754388353,0.46,1,1.3,1
"647","9.4","2",1,"a",0.0508474576271186,0.0598561134319912,14.9,0,59,0.047086836514185,0.46,1,1.3,1
"648","10","2",1,"a",0.0508474576271186,0.0608165136717023,15.8,0,59,0.0532525310736428,0.46,1,1.3,1
"649","7.1","0",0.785714285714286,"n",0.745762711864407,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"650","7.6","0",0.785714285714286,"n",0.745762711864407,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
"651","8.2","0",0.785714285714286,"n",0.745762711864407,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"652","8.8","0",0.785714285714286,"n",0.745762711864407,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"653","9.4","0",0.785714285714286,"n",0.745762711864407,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"654","10","0",0.785714285714286,"n",0.745762711864407,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"655","7.1","1",0.0892857142857143,"n",0.0847457627118644,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"656","7.6","1",0.0892857142857143,"n",0.0847457627118644,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
"657","8.2","1",0.0892857142857143,"n",0.0847457627118644,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"658","8.8","1",0.0892857142857143,"n",0.0847457627118644,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"659","9.4","1",0.0892857142857143,"n",0.0847457627118644,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"660","10","1",0.0892857142857143,"n",0.0847457627118644,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"661","7.1","2",0.125,"n",0.11864406779661,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"662","7.6","2",0.125,"n",0.11864406779661,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
"663","8.2","2",0.125,"n",0.11864406779661,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"664","8.8","2",0.125,"n",0.11864406779661,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"665","9.4","2",0.125,"n",0.11864406779661,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"666","10","2",0.125,"n",0.11864406779661,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"667","7.1","0",0,"a",0,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"668","7.6","0",0,"a",0,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
"669","8.2","0",0,"a",0,0.0209246837771161,13.5,0,59,0.0377567767012637,0.64,1,1.3,1
"670","8.8","0",0,"a",0,0.0214134170732599,14.1,0,59,0.0418545754388353,0.64,1,1.3,1
"671","9.4","0",0,"a",0,0.0222697772486448,14.9,0,59,0.047086836514185,0.64,1,1.3,1
"672","10","0",0,"a",0,0.0227565816938177,15.8,0,59,0.0532525310736428,0.64,1,1.3,1
"673","7.1","1",0,"a",0,0.0199895733753579,12.3,0,59,0.0308423858115958,0.64,1,1.3,1
"674","7.6","1",0,"a",0,0.0204244390423715,12.9,0,59,0.0340004172000557,0.64,1,1.3,1
