"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"88","8.8","2",0.384615384615385,"n",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"89","9.4","2",0.307692307692308,"n",0.173913043478261,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"90","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"91","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"92","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"93","8.2","0",0.533333333333333,"a",0.296296296296296,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
"94","8.8","0",0.416666666666667,"a",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"95","9.4","0",0.2,"a",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"96","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"97","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"98","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"99","8.2","1",0,"a",0,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
"100","8.8","1",0,"a",0,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"101","9.4","1",0.1,"a",0.0434782608695652,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"102","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"103","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46
"104","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46
"105","8.2","2",0.466666666666667,"a",0.259259259259259,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46
"106","8.8","2",0.583333333333333,"a",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46
"107","9.4","2",0.7,"a",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46
"108","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46
"109","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"110","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"111","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"112","8.8","0",0.4,"n",0.16,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"113","9.4","0",0.5,"n",0.25,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"114","10","0",0.571428571428571,"n",0.347826086956522,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"115","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"116","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"117","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"118","8.8","1",0.1,"n",0.04,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"119","9.4","1",0.0833333333333333,"n",0.0416666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"120","10","1",0.0714285714285714,"n",0.0434782608695652,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"121","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"122","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"123","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"124","8.8","2",0.5,"n",0.2,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"125","9.4","2",0.416666666666667,"n",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"126","10","2",0.357142857142857,"n",0.217391304347826,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"127","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"128","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"129","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"130","8.8","0",0.533333333333333,"a",0.32,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"131","9.4","0",0.416666666666667,"a",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"132","10","0",0.222222222222222,"a",0.0869565217391304,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"133","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"134","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"135","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"136","8.8","1",0,"a",0,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"137","9.4","1",0,"a",0,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"138","10","1",0,"a",0,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"139","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64
"140","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64
"141","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64
"142","8.8","2",0.466666666666667,"a",0.28,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64
"143","9.4","2",0.583333333333333,"a",0.291666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64
"144","10","2",0.777777777777778,"a",0.304347826086957,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64
"145","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"146","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"147","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"148","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"149","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"150","10","0",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"151","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"152","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"153","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"154","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"155","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"156","10","1",0.0909090909090909,"n",0.0434782608695652,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"157","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"158","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"159","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"160","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"161","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"162","10","2",0.454545454545455,"n",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"163","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"164","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"165","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"166","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"167","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"168","10","0",0.416666666666667,"a",0.217391304347826,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"169","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"170","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"171","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"172","8.8","1",0.0769230769230769,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"173","9.4","1",0.0833333333333333,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"174","10","1",0,"a",0,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"175","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.82
"176","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.82
"177","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.82
"178","8.8","2",0.538461538461538,"a",0.388888888888889,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.3,0.82
"179","9.4","2",0.583333333333333,"a",0.411764705882353,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.3,0.82
"180","10","2",0.583333333333333,"a",0.304347826086957,0.0983129361237073,2.7,23.6,23,0.112063315447455,1,1,1.3,0.82
"181","7.1","0",0.2,"n",0.133333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"182","7.6","0",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"183","8.2","0",0.375,"n",0.3,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"184","8.8","0",0.428571428571429,"n",0.315789473684211,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"185","9.4","0",0.384615384615385,"n",0.277777777777778,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"186","10","0",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"187","7.1","1",0,"n",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"188","7.6","1",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"189","8.2","1",0.1875,"n",0.15,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"190","8.8","1",0.0714285714285714,"n",0.0526315789473684,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"191","9.4","1",0.0769230769230769,"n",0.0555555555555556,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"192","10","1",0.230769230769231,"n",0.176470588235294,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"193","7.1","2",0.8,"n",0.533333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"194","7.6","2",1,"n",0.615384615384615,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"195","8.2","2",0.4375,"n",0.35,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"196","8.8","2",0.5,"n",0.368421052631579,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"197","9.4","2",0.538461538461538,"n",0.388888888888889,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"198","10","2",0.538461538461538,"n",0.411764705882353,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"199","7.1","0",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"200","7.6","0",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"201","8.2","0",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"202","8.8","0",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"203","9.4","0",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"204","10","0",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"205","7.1","1",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"206","7.6","1",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"207","8.2","1",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"208","8.8","1",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"209","9.4","1",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"210","10","1",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"211","7.1","2",1,"a",0.333333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1
"212","7.6","2",1,"a",0.384615384615385,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1
"213","8.2","2",1,"a",0.2,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1
"214","8.8","2",1,"a",0.263157894736842,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1
"215","9.4","2",1,"a",0.277777777777778,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1
"216","10","2",1,"a",0.235294117647059,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1
"217","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"218","7.6","0",0.5,"n",0.380952380952381,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"219","8.2","0",0.466666666666667,"n",0.35,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"220","8.8","0",0.384615384615385,"n",0.277777777777778,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"221","9.4","0",0.333333333333333,"n",0.235294117647059,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"222","10","0",0,"n",0,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"223","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"224","7.6","1",0,"n",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"225","8.2","1",0,"n",0,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"226","8.8","1",0,"n",0,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"227","9.4","1",0,"n",0,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"228","10","1",0,"n",0,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"229","7.1","2",0.333333333333333,"n",0.227272727272727,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"230","7.6","2",0.5,"n",0.380952380952381,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"231","8.2","2",0.533333333333333,"n",0.4,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"232","8.8","2",0.615384615384615,"n",0.444444444444444,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"233","9.4","2",0.666666666666667,"n",0.470588235294118,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"234","10","2",1,"n",0.470588235294118,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"235","7.1","0",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"236","7.6","0",0,"a",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"237","8.2","0",0,"a",0,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"238","8.8","0",0,"a",0,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"239","9.4","0",0,"a",0,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"240","10","0",0.444444444444444,"a",0.235294117647059,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"241","7.1","1",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"242","7.6","1",0,"a",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"243","8.2","1",0.2,"a",0.05,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"244","8.8","1",0.2,"a",0.0555555555555556,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"245","9.4","1",0.2,"a",0.0588235294117647,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"246","10","1",0.111111111111111,"a",0.0588235294117647,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"247","7.1","2",1,"a",0.318181818181818,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,0.98,1
"248","7.6","2",1,"a",0.238095238095238,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,0.98,1
"249","8.2","2",0.8,"a",0.2,0.124872020794132,1.4,21.2,20,0.0786203689154736,1,1,0.98,1
"250","8.8","2",0.8,"a",0.222222222222222,0.1544943948352,1,22.5,18,0.0873248968312143,1,1,0.98,1
"251","9.4","2",0.8,"a",0.235294117647059,0.172221083046618,0.799999999999999,24.4,17,0.101598148942839,1,1,0.98,1
"252","10","2",0.444444444444444,"a",0.235294117647059,0.175100744148992,0.800000000000001,24.7,17,0.104828335740565,1,1,0.98,1
"253","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"254","7.6","0",0.5,"n",0.380952380952381,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"255","8.2","0",0.538461538461538,"n",0.35,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"256","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"257","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"258","10","0",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"259","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"260","7.6","1",0,"n",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"261","8.2","1",0.0769230769230769,"n",0.05,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"262","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"263","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"264","10","1",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"265","7.1","2",0.333333333333333,"n",0.227272727272727,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"266","7.6","2",0.5,"n",0.380952380952381,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"267","8.2","2",0.384615384615385,"n",0.25,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"268","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"269","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"270","10","2",1,"n",0.3125,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"271","7.1","0",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"272","7.6","0",0,"a",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"273","8.2","0",0,"a",0,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"274","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"275","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"276","10","0",0.272727272727273,"a",0.1875,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"277","7.1","1",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"278","7.6","1",0,"a",0,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"279","8.2","1",0,"a",0,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"280","8.8","1",0.0769230769230769,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"281","9.4","1",0.0833333333333333,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"282","10","1",0.0909090909090909,"a",0.0625,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"283","7.1","2",1,"a",0.318181818181818,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.06,1
"284","7.6","2",1,"a",0.238095238095238,0.112306149272445,1.6,18.9,21,0.0638473605521784,1,1,1.06,1
"285","8.2","2",1,"a",0.35,0.125055212163871,1.5,21.2,20,0.0786203689154736,1,1,1.06,1
"286","8.8","2",0.538461538461538,"a",0.388888888888889,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.06,1
"287","9.4","2",0.583333333333333,"a",0.411764705882353,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.06,1
"288","10","2",0.636363636363636,"a",0.4375,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.06,1
"289","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
"290","7.6","0",0,"n",0,0.111292557127591,1.7,18.9,21,0.0643402457574889,1,1,1.14,1
"291","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.14,1
"292","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.14,1
"293","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.14,1
"294","10","0",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.14,1
"295","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
"296","7.6","1",0,"n",0,0.111292557127591,1.7,18.9,21,0.0643402457574889,1,1,1.14,1
"297","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.14,1
"298","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.14,1
"299","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.14,1
"300","10","1",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.14,1
"301","7.1","2",0.333333333333333,"n",0.227272727272727,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
"302","7.6","2",1,"n",0.238095238095238,0.111292557127591,1.7,18.9,21,0.0643402457574889,1,1,1.14,1
"303","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.14,1
"304","8.8","2",1,"n",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.14,1
"305","9.4","2",1,"n",0.294117647058824,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.14,1
"306","10","2",1,"n",0.3125,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.14,1
"307","7.1","0",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
"308","7.6","0",0.5,"a",0.380952380952381,0.111292557127591,1.7,18.9,21,0.0643402457574889,1,1,1.14,1
"309","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.14,1
"310","8.8","0",0.384615384615385,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.14,1
"311","9.4","0",0.333333333333333,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.14,1
"312","10","0",0.272727272727273,"a",0.1875,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.14,1
"313","7.1","1",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
"314","7.6","1",0.0625,"a",0.0476190476190476,0.111292557127591,1.7,18.9,21,0.0643402457574889,1,1,1.14,1
"315","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.14,1
"316","8.8","1",0.0769230769230769,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,1,1,1.14,1
"317","9.4","1",0.0833333333333333,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,1,1,1.14,1
"318","10","1",0.0909090909090909,"a",0.0625,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,1,1,1.14,1
"319","7.1","2",1,"a",0.318181818181818,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1,1.14,1
