"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","iter_id"
"42","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"43","7.1","1",0,"n",0,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"44","7.6","1",0,"n",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"45","8.2","1",0.0714285714285714,"n",0.037037037037037,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"46","8.8","1",0.0666666666666667,"n",0.04,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"47","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"48","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"49","7.1","2",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"50","7.6","2",0.571428571428571,"n",0.285714285714286,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"51","8.2","2",0.357142857142857,"n",0.185185185185185,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"52","8.8","2",0.333333333333333,"n",0.2,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"53","9.4","2",0.266666666666667,"n",0.173913043478261,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"54","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"55","7.1","0",0.578947368421053,"a",0.379310344827586,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"56","7.6","0",0.642857142857143,"a",0.321428571428571,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"57","8.2","0",0.461538461538462,"a",0.222222222222222,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"58","8.8","0",0.3,"a",0.12,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"59","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"60","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"61","7.1","1",0.0526315789473684,"a",0.0344827586206897,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"62","7.6","1",0,"a",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"63","8.2","1",0,"a",0,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"64","8.8","1",0,"a",0,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"65","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"66","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"67","7.1","2",0.368421052631579,"a",0.241379310344828,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"68","7.6","2",0.357142857142857,"a",0.178571428571429,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"69","8.2","2",0.538461538461538,"a",0.259259259259259,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"70","8.8","2",0.7,"a",0.28,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"71","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"72","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"73","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"74","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"75","8.2","0",0.5,"n",0.222222222222222,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"76","8.8","0",0.538461538461538,"n",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"77","9.4","0",0.538461538461538,"n",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"78","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"79","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"80","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"81","8.2","1",0.0833333333333333,"n",0.037037037037037,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"82","8.8","1",0.0769230769230769,"n",0.04,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"83","9.4","1",0.153846153846154,"n",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"84","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"85","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"86","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"87","8.2","2",0.416666666666667,"n",0.185185185185185,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"88","8.8","2",0.384615384615385,"n",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"89","9.4","2",0.307692307692308,"n",0.173913043478261,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"90","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"91","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"92","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"93","8.2","0",0.533333333333333,"a",0.296296296296296,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"94","8.8","0",0.416666666666667,"a",0.2,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"95","9.4","0",0.2,"a",0.0869565217391304,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"96","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"97","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"98","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"99","8.2","1",0,"a",0,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"100","8.8","1",0,"a",0,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"101","9.4","1",0.1,"a",0.0434782608695652,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"102","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"103","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.46,18
"104","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.46,18
"105","8.2","2",0.466666666666667,"a",0.259259259259259,0.0632335300739995,3.6,19,27,0.078058818587529,1,1,1.3,0.46,18
"106","8.8","2",0.583333333333333,"a",0.28,0.0785627968228753,3.3,20.5,25,0.0885237743244743,1,1,1.3,0.46,18
"107","9.4","2",0.7,"a",0.304347826086957,0.0951066356025661,3.1,23.2,23,0.108094676305006,1,1,1.3,0.46,18
"108","10","2",1,"a",0.318181818181818,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.46,18
"109","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"110","7.6","0",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"111","8.2","0",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"112","8.8","0",0.4,"n",0.16,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
"113","9.4","0",0.5,"n",0.25,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"114","10","0",0.571428571428571,"n",0.347826086956522,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"115","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"116","7.6","1",0,"n",0,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"117","8.2","1",0,"n",0,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"118","8.8","1",0.1,"n",0.04,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
"119","9.4","1",0.0833333333333333,"n",0.0416666666666667,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"120","10","1",0.0714285714285714,"n",0.0434782608695652,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"121","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"122","7.6","2",1,"n",0.238095238095238,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"123","8.2","2",1,"n",0.25,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"124","8.8","2",0.5,"n",0.2,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
"125","9.4","2",0.416666666666667,"n",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"126","10","2",0.357142857142857,"n",0.217391304347826,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"127","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"128","7.6","0",0.5,"a",0.380952380952381,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"129","8.2","0",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"130","8.8","0",0.533333333333333,"a",0.32,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
"131","9.4","0",0.416666666666667,"a",0.208333333333333,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"132","10","0",0.222222222222222,"a",0.0869565217391304,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"133","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"134","7.6","1",0.0625,"a",0.0476190476190476,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"135","8.2","1",0.0666666666666667,"a",0.05,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"136","8.8","1",0,"a",0,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
"137","9.4","1",0,"a",0,0.0879586362259677,3,22.3,24,0.101598148942839,1,1,1.3,0.64,19
"138","10","1",0,"a",0,0.0987487923246611,3,23.7,23,0.114734110056427,1,1,1.3,0.64,19
"139","7.1","2",0.411764705882353,"a",0.318181818181818,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1,1,1.3,0.64,19
"140","7.6","2",0.4375,"a",0.333333333333333,0.11143585015981,1.7,18.9,21,0.0643402457574889,1,1,1.3,0.64,19
"141","8.2","2",0.466666666666667,"a",0.35,0.125333748668099,1.5,21.2,20,0.0786203689154736,1,1,1.3,0.64,19
"142","8.8","2",0.466666666666667,"a",0.28,0.0782066558429145,3,20.4,25,0.0861347362791,1,1,1.3,0.64,19
