"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","N","yn","ya","iter_id"
"1","7.1","0",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"2","7.6","0",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"3","8.2","0",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"4","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"5","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"6","10","0",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"7","7.1","1",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"8","7.6","1",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"9","8.2","1",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"10","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"11","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"12","10","1",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"13","7.1","2",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"14","7.6","2",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"15","8.2","2",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"16","8.8","2",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"17","9.4","2",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"18","10","2",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"19","7.1","0",0,"a",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"20","7.6","0",0,"a",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"21","8.2","0",0,"a",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"22","8.8","0",0.277777777777778,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"23","9.4","0",0.235294117647059,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"24","10","0",0.1875,"a",0.1875,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"25","7.1","1",0.0769230769230769,"a",0.0769230769230769,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"26","7.6","1",0.0769230769230769,"a",0.0769230769230769,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"27","8.2","1",0.0769230769230769,"a",0.0769230769230769,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"28","8.8","1",0.0555555555555556,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"29","9.4","1",0.0588235294117647,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"30","10","1",0.0625,"a",0.0625,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"31","7.1","2",0.923076923076923,"a",0.923076923076923,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,1,1,3
"32","7.6","2",0.923076923076923,"a",0.923076923076923,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,1,1,3
"33","8.2","2",0.923076923076923,"a",0.923076923076923,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,1,1,3
"34","8.8","2",0.666666666666667,"a",0.666666666666667,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,1,1,3
"35","9.4","2",0.705882352941177,"a",0.705882352941177,0.173859600605168,0.9,24.4,17,0.101598148942839,0,1,1,3
"36","10","2",0.75,"a",0.75,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,1,1,3
"37","7.1","0",0.882352941176471,"n",0.76271186440678,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"38","7.6","0",0.882352941176471,"n",0.76271186440678,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"39","8.2","0",0.882352941176471,"n",0.76271186440678,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"40","8.8","0",0.882352941176471,"n",0.76271186440678,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"41","9.4","0",0.882352941176471,"n",0.76271186440678,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"42","10","0",0.882352941176471,"n",0.76271186440678,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"43","7.1","1",0.0392156862745098,"n",0.0338983050847458,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"44","7.6","1",0.0392156862745098,"n",0.0338983050847458,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"45","8.2","1",0.0392156862745098,"n",0.0338983050847458,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"46","8.8","1",0.0392156862745098,"n",0.0338983050847458,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"47","9.4","1",0.0392156862745098,"n",0.0338983050847458,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"48","10","1",0.0196078431372549,"n",0.0169491525423729,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"49","7.1","2",0.0784313725490196,"n",0.0677966101694915,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"50","7.6","2",0.0784313725490196,"n",0.0677966101694915,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"51","8.2","2",0.0784313725490196,"n",0.0677966101694915,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"52","8.8","2",0.0784313725490196,"n",0.0677966101694915,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"53","9.4","2",0.0784313725490196,"n",0.0677966101694915,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"54","10","2",0.0980392156862745,"n",0.0847457627118644,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"55","7.1","0",0,"a",0,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"56","7.6","0",0,"a",0,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"57","8.2","0",0,"a",0,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"58","8.8","0",0,"a",0,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"59","9.4","0",0,"a",0,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"60","10","0",0,"a",0,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"61","7.1","1",0.125,"a",0.0169491525423729,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"62","7.6","1",0.125,"a",0.0169491525423729,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"63","8.2","1",0.125,"a",0.0169491525423729,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"64","8.8","1",0.125,"a",0.0169491525423729,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"65","9.4","1",0.125,"a",0.0169491525423729,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"66","10","1",0.25,"a",0.0338983050847458,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"67","7.1","2",0.875,"a",0.11864406779661,0.00742072250654325,14.5,0,59,0.0367879579001669,0.25,1,1,6
"68","7.6","2",0.875,"a",0.11864406779661,0.00774078457034566,15.4,0,59,0.0415013637172435,0.25,1,1,6
"69","8.2","2",0.875,"a",0.11864406779661,0.00807000460862019,16.3,0,59,0.0470886013779075,0.25,1,1,6
"70","8.8","2",0.875,"a",0.11864406779661,0.00840016961203765,17.3,0,59,0.0536864019714559,0.25,1,1,6
"71","9.4","2",0.875,"a",0.11864406779661,0.00873426233403479,18.5,0,59,0.0609610677654568,0.25,1,1,6
"72","10","2",0.75,"a",0.101694915254237,0.0094726998140848,19,0,59,0.0663541490840469,0.25,1,1,6
"73","7.1","0",0.818181818181818,"n",0.76271186440678,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"74","7.6","0",0.818181818181818,"n",0.76271186440678,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
"75","8.2","0",0.785714285714286,"n",0.745762711864407,0.00909294948514271,16.2,0,59,0.0470886013779075,0.5,1,1,9
"76","8.8","0",0.785714285714286,"n",0.745762711864407,0.00957568570095928,17.1,0,59,0.0532543700327885,0.5,1,1,9
"77","9.4","0",0.785714285714286,"n",0.745762711864407,0.00995021113672978,18,0,59,0.0606940716487946,0.5,1,1,9
"78","10","0",0.785714285714286,"n",0.745762711864407,0.0103293949958501,19.2,0,59,0.0696222803625339,0.5,1,1,9
"79","7.1","1",0.0545454545454545,"n",0.0508474576271186,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"80","7.6","1",0.0545454545454545,"n",0.0508474576271186,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
"81","8.2","1",0.0892857142857143,"n",0.0847457627118644,0.00909294948514271,16.2,0,59,0.0470886013779075,0.5,1,1,9
"82","8.8","1",0.0892857142857143,"n",0.0847457627118644,0.00957568570095928,17.1,0,59,0.0532543700327885,0.5,1,1,9
"83","9.4","1",0.0714285714285714,"n",0.0677966101694915,0.00995021113672978,18,0,59,0.0606940716487946,0.5,1,1,9
"84","10","1",0.0714285714285714,"n",0.0677966101694915,0.0103293949958501,19.2,0,59,0.0696222803625339,0.5,1,1,9
"85","7.1","2",0.127272727272727,"n",0.11864406779661,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"86","7.6","2",0.127272727272727,"n",0.11864406779661,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
"87","8.2","2",0.125,"n",0.11864406779661,0.00909294948514271,16.2,0,59,0.0470886013779075,0.5,1,1,9
"88","8.8","2",0.125,"n",0.11864406779661,0.00957568570095928,17.1,0,59,0.0532543700327885,0.5,1,1,9
"89","9.4","2",0.142857142857143,"n",0.135593220338983,0.00995021113672978,18,0,59,0.0606940716487946,0.5,1,1,9
"90","10","2",0.142857142857143,"n",0.135593220338983,0.0103293949958501,19.2,0,59,0.0696222803625339,0.5,1,1,9
"91","7.1","0",0,"a",0,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"92","7.6","0",0,"a",0,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
"93","8.2","0",0,"a",0,0.00909294948514271,16.2,0,59,0.0470886013779075,0.5,1,1,9
"94","8.8","0",0,"a",0,0.00957568570095928,17.1,0,59,0.0532543700327885,0.5,1,1,9
"95","9.4","0",0,"a",0,0.00995021113672978,18,0,59,0.0606940716487946,0.5,1,1,9
"96","10","0",0,"a",0,0.0103293949958501,19.2,0,59,0.0696222803625339,0.5,1,1,9
"97","7.1","1",0,"a",0,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"98","7.6","1",0,"a",0,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
"99","8.2","1",0,"a",0,0.00909294948514271,16.2,0,59,0.0470886013779075,0.5,1,1,9
"100","8.8","1",0,"a",0,0.00957568570095928,17.1,0,59,0.0532543700327885,0.5,1,1,9
"101","9.4","1",0.333333333333333,"a",0.0169491525423729,0.00995021113672978,18,0,59,0.0606940716487946,0.5,1,1,9
"102","10","1",0.333333333333333,"a",0.0169491525423729,0.0103293949958501,19.2,0,59,0.0696222803625339,0.5,1,1,9
"103","7.1","2",1,"a",0.0677966101694915,0.00843273805398478,14.5,0,59,0.0367879579001669,0.5,1,1,9
"104","7.6","2",1,"a",0.0677966101694915,0.00874442280159959,15.1,0,59,0.0404514076099742,0.5,1,1,9
