"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"55","12.8","2",1,"a",0.35,0.138220015456044,2.2,27.4,20,0.145515543798503,0.1,1,0.1
"56","14.3","2",1,"a",0.368421052631579,0.155344590940257,1.9,30,19,0.171024081496852,0.1,1,0.1
"57","15.7","2",1,"a",0.411764705882353,0.19084284389106,1.3,32.9,17,0.193742425366959,0.1,1,0.1
"58","17.1","2",1,"a",0.238095238095238,0.135152819888152,2.8,33.3,21,0.21088187286358,0.1,1,0.1
"59","18.6","2",1,"a",0.263157894736842,0.16559264949017,2.4,36.9,19,0.231232929986498,0.1,1,0.1
"60","20","2",1,"a",0.277777777777778,0.183763903013859,2,39.2,18,0.242195078873512,0.1,1,0.1
"61","7.1","0",0.642857142857143,"n",0.409090909090909,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"62","8.5","0",0.5,"n",0.315789473684211,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"63","10","0",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"64","11.4","0",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
"65","12.8","0",0.5,"n",0.3,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"66","14.3","0",0.5,"n",0.315789473684211,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"67","15.7","0",0.4,"n",0.235294117647059,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"68","17.1","0",0.272727272727273,"n",0.1875,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"69","18.6","0",0.375,"n",0.157894736842105,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"70","20","0",0.384615384615385,"n",0.277777777777778,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"71","7.1","1",0,"n",0,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"72","8.5","1",0.0833333333333333,"n",0.0526315789473684,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"73","10","1",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"74","11.4","1",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
"75","12.8","1",0.0833333333333333,"n",0.05,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"76","14.3","1",0.0833333333333333,"n",0.0526315789473684,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"77","15.7","1",0.1,"n",0.0588235294117647,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"78","17.1","1",0,"n",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"79","18.6","1",0,"n",0,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"80","20","1",0,"n",0,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"81","7.1","2",0.357142857142857,"n",0.227272727272727,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"82","8.5","2",0.416666666666667,"n",0.263157894736842,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"83","10","2",1,"n",0.5,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"84","11.4","2",1,"n",0.3125,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
"85","12.8","2",0.416666666666667,"n",0.25,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"86","14.3","2",0.416666666666667,"n",0.263157894736842,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"87","15.7","2",0.5,"n",0.294117647058824,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"88","17.1","2",0.727272727272727,"n",0.5,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"89","18.6","2",0.625,"n",0.263157894736842,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"90","20","2",0.615384615384615,"n",0.444444444444444,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"91","7.1","0",0,"a",0,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"92","8.5","0",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"93","10","0",0.375,"a",0.1875,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"94","11.4","0",0.272727272727273,"a",0.1875,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
"95","12.8","0",0,"a",0,0.134818961330442,2.1,27.4,20,0.145515543798503,0.3,1,0.3
"96","14.3","0",0,"a",0,0.155344590940257,1.9,30,19,0.171024081496852,0.3,1,0.3
"97","15.7","0",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.3,1,0.3
"98","17.1","0",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.3,1,0.3
"99","18.6","0",0.272727272727273,"a",0.157894736842105,0.163447509683563,2.1,36.8,19,0.230483447571069,0.3,1,0.3
"100","20","0",0,"a",0,0.183763903013859,2,39.2,18,0.242195078873512,0.3,1,0.3
"101","7.1","1",0.125,"a",0.0454545454545455,0.0987068874323008,1.9,18.2,22,0.0595301993804354,0.3,1,0.3
"102","8.5","1",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.3,1,0.3
"103","10","1",0.125,"a",0.0625,0.192859815546751,0.6,25.7,16,0.112729240671452,0.3,1,0.3
"104","11.4","1",0.0909090909090909,"a",0.0625,0.19764975457947,1.1,25.8,16,0.114734110056427,0.3,1,0.3
