"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","seeds"
"251","7.1","1",0.0555555555555556,"n",0.0416666666666667,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"252","8.5","1",0,"n",0,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"253","10","1",0,"n",0,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"254","11.4","1",0,"n",0,0.097066912709529,3.8,23,26,0.121484492805138,5
"255","12.8","1",0,"n",0,0.100136177018528,4,25.3,26,0.148256093072167,5
"256","14.3","1",0,"n",0,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"257","15.7","1",0,"n",0,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"258","17.1","1",0,"n",0,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"259","18.6","1",0,"n",0,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"260","20","1",0,"n",0,0.0554128423855536,9.3,25,35,0.218007493025617,5
"261","7.1","2",0.333333333333333,"n",0.25,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"262","8.5","2",0.466666666666667,"n",0.333333333333333,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"263","10","2",0.583333333333333,"n",0.388888888888889,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"264","11.4","2",0.35,"n",0.269230769230769,0.097066912709529,3.8,23,26,0.121484492805138,5
"265","12.8","2",0.35,"n",0.269230769230769,0.100136177018528,4,25.3,26,0.148256093072167,5
"266","14.3","2",0.333333333333333,"n",0.259259259259259,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"267","15.7","2",0.333333333333333,"n",0.259259259259259,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"268","17.1","2",0.368421052631579,"n",0.28,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"269","18.6","2",0.269230769230769,"n",0.21875,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"270","20","2",0.241379310344828,"n",0.2,0.0554128423855536,9.3,25,35,0.218007493025617,5
"271","7.1","0",0,"a",0,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"272","8.5","0",0,"a",0,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"273","10","0",0,"a",0,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"274","11.4","0",0,"a",0,0.097066912709529,3.8,23,26,0.121484492805138,5
