"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka"
"128","17.1","0",0.851851851851852,"n",0.779661016949153,0.00846674689710827,26,0,59,0.156456833957568,1.1
"129","18.6","0",0.851851851851852,"n",0.779661016949153,0.00883887763596747,27.3,0,59,0.174280135177105,1.1
"130","20","0",0.818181818181818,"n",0.76271186440678,0.00912313336261662,29.5,0,59,0.190299794909502,1.1
"131","7.1","1",0.151515151515152,"n",0.138888888888889,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.1
"132","8.5","1",0.178571428571429,"n",0.161290322580645,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.1
"133","10","1",0.208333333333333,"n",0.185185185185185,0.0851740197641718,4.3,22,27,0.112063315447455,1.1
"134","11.4","1",0.294117647058824,"n",0.25,0.1585911495488,2.5,27.8,20,0.148940675893818,1.1
"135","12.8","1",0.192307692307692,"n",0.172413793103448,0.0765697639882834,5.8,24.3,29,0.15642671783744,1.1
"136","14.3","1",0.0454545454545455,"n",0.037037037037037,0.0959867397593865,5.2,27.6,27,0.183034129130455,1.1
"137","15.7","1",0.1,"n",0.0882352941176471,0.056220836105917,9.3,23.7,34,0.192007222401292,1.1
"138","17.1","1",0.0185185185185185,"n",0.0169491525423729,0.00846674689710827,26,0,59,0.156456833957568,1.1
"139","18.6","1",0.0185185185185185,"n",0.0169491525423729,0.00883887763596747,27.3,0,59,0.174280135177105,1.1
"140","20","1",0.0363636363636364,"n",0.0338983050847458,0.00912313336261662,29.5,0,59,0.190299794909502,1.1
"141","7.1","2",0.212121212121212,"n",0.194444444444444,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.1
"142","8.5","2",0.25,"n",0.225806451612903,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.1
"143","10","2",0.291666666666667,"n",0.259259259259259,0.0851740197641718,4.3,22,27,0.112063315447455,1.1
"144","11.4","2",0.411764705882353,"n",0.35,0.1585911495488,2.5,27.8,20,0.148940675893818,1.1
"145","12.8","2",0.269230769230769,"n",0.241379310344828,0.0765697639882834,5.8,24.3,29,0.15642671783744,1.1
"146","14.3","2",0.318181818181818,"n",0.259259259259259,0.0959867397593865,5.2,27.6,27,0.183034129130455,1.1
"147","15.7","2",0.233333333333333,"n",0.205882352941176,0.056220836105917,9.3,23.7,34,0.192007222401292,1.1
"148","17.1","2",0.12962962962963,"n",0.11864406779661,0.00846674689710827,26,0,59,0.156456833957568,1.1
"149","18.6","2",0.12962962962963,"n",0.11864406779661,0.00883887763596747,27.3,0,59,0.174280135177105,1.1
"150","20","2",0.145454545454545,"n",0.135593220338983,0.00912313336261662,29.5,0,59,0.190299794909502,1.1
"151","7.1","0",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.1
"152","8.5","0",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.1
"153","10","0",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.1
"154","11.4","0",0,"a",0,0.1585911495488,2.5,27.8,20,0.148940675893818,1.1
"155","12.8","0",0,"a",0,0.0765697639882834,5.8,24.3,29,0.15642671783744,1.1
"156","14.3","0",0,"a",0,0.0959867397593865,5.2,27.6,27,0.183034129130455,1.1
"157","15.7","0",0,"a",0,0.056220836105917,9.3,23.7,34,0.192007222401292,1.1
"158","17.1","0",0,"a",0,0.00846674689710827,26,0,59,0.156456833957568,1.1
"159","18.6","0",0,"a",0,0.00883887763596747,27.3,0,59,0.174280135177105,1.1
"160","20","0",0,"a",0,0.00912313336261662,29.5,0,59,0.190299794909502,1.1
"161","7.1","1",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.1
"162","8.5","1",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.1
"163","10","1",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.1
"164","11.4","1",0,"a",0,0.1585911495488,2.5,27.8,20,0.148940675893818,1.1
"165","12.8","1",0,"a",0,0.0765697639882834,5.8,24.3,29,0.15642671783744,1.1
"166","14.3","1",0,"a",0,0.0959867397593865,5.2,27.6,27,0.183034129130455,1.1
"167","15.7","1",0,"a",0,0.056220836105917,9.3,23.7,34,0.192007222401292,1.1
"168","17.1","1",0,"a",0,0.00846674689710827,26,0,59,0.156456833957568,1.1
"169","18.6","1",0,"a",0,0.00883887763596747,27.3,0,59,0.174280135177105,1.1
