"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka","kn","kn_ka"
"1","7.1","0",0.647058823529412,"n",0.594594594594595,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9,1.3,1.44444444444444
"2","8.5","0",0.555555555555556,"n",0.5,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9,1.3,1.44444444444444
"3","10","0",0.428571428571429,"n",0.375,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9,1.3,1.44444444444444
"4","11.4","0",0.428571428571429,"n",0.375,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9,1.3,1.44444444444444
"5","12.8","0",0.62962962962963,"n",0.548387096774194,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9,1.3,1.44444444444444
"6","14.3","0",0.565217391304348,"n",0.481481481481481,0.0947183696493604,5,27.6,27,0.183034129130455,0.9,1.3,1.44444444444444
"7","15.7","0",0.612903225806452,"n",0.558823529411765,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9,1.3,1.44444444444444
"8","17.1","0",0.785714285714286,"n",0.745762711864407,0.00837271996580299,26,0,59,0.155108054166416,0.9,1.3,1.44444444444444
"9","18.6","0",0.785714285714286,"n",0.745762711864407,0.00865077792983299,27.6,0,59,0.175560206911659,0.9,1.3,1.44444444444444
"10","20","0",0.818181818181818,"n",0.76271186440678,0.00914133727483675,29.2,0,59,0.187918637536588,0.9,1.3,1.44444444444444
"11","7.1","1",0.147058823529412,"n",0.135135135135135,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9,1.3,1.44444444444444
"12","8.5","1",0.185185185185185,"n",0.166666666666667,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9,1.3,1.44444444444444
"13","10","1",0.238095238095238,"n",0.208333333333333,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9,1.3,1.44444444444444
"14","11.4","1",0.238095238095238,"n",0.208333333333333,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9,1.3,1.44444444444444
"15","12.8","1",0.0740740740740741,"n",0.0645161290322581,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9,1.3,1.44444444444444
"16","14.3","1",0.0869565217391304,"n",0.0740740740740741,0.0947183696493604,5,27.6,27,0.183034129130455,0.9,1.3,1.44444444444444
"17","15.7","1",0.161290322580645,"n",0.147058823529412,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9,1.3,1.44444444444444
"18","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.00837271996580299,26,0,59,0.155108054166416,0.9,1.3,1.44444444444444
"19","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.00865077792983299,27.6,0,59,0.175560206911659,0.9,1.3,1.44444444444444
"20","20","1",0.0545454545454545,"n",0.0508474576271186,0.00914133727483675,29.2,0,59,0.187918637536588,0.9,1.3,1.44444444444444
"21","7.1","2",0.205882352941176,"n",0.189189189189189,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9,1.3,1.44444444444444
"22","8.5","2",0.259259259259259,"n",0.233333333333333,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9,1.3,1.44444444444444
"23","10","2",0.333333333333333,"n",0.291666666666667,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9,1.3,1.44444444444444
"24","11.4","2",0.333333333333333,"n",0.291666666666667,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9,1.3,1.44444444444444
"25","12.8","2",0.296296296296296,"n",0.258064516129032,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9,1.3,1.44444444444444
"26","14.3","2",0.347826086956522,"n",0.296296296296296,0.0947183696493604,5,27.6,27,0.183034129130455,0.9,1.3,1.44444444444444
"27","15.7","2",0.225806451612903,"n",0.205882352941176,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9,1.3,1.44444444444444
"28","17.1","2",0.125,"n",0.11864406779661,0.00837271996580299,26,0,59,0.155108054166416,0.9,1.3,1.44444444444444
"29","18.6","2",0.125,"n",0.11864406779661,0.00865077792983299,27.6,0,59,0.175560206911659,0.9,1.3,1.44444444444444
"30","20","2",0.127272727272727,"n",0.11864406779661,0.00914133727483675,29.2,0,59,0.187918637536588,0.9,1.3,1.44444444444444
"31","7.1","0",0,"a",0,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9,1.3,1.44444444444444
"32","8.5","0",0,"a",0,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9,1.3,1.44444444444444
"33","10","0",0,"a",0,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9,1.3,1.44444444444444
"34","11.4","0",0,"a",0,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9,1.3,1.44444444444444
"35","12.8","0",0,"a",0,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9,1.3,1.44444444444444
"36","14.3","0",0,"a",0,0.0947183696493604,5,27.6,27,0.183034129130455,0.9,1.3,1.44444444444444
"37","15.7","0",0,"a",0,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9,1.3,1.44444444444444
"38","17.1","0",0,"a",0,0.00837271996580299,26,0,59,0.155108054166416,0.9,1.3,1.44444444444444
"39","18.6","0",0,"a",0,0.00865077792983299,27.6,0,59,0.175560206911659,0.9,1.3,1.44444444444444
