"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"92","8.5","0",0.777777777777778,"a",0.711864406779661,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"93","10","0",0.777777777777778,"a",0.711864406779661,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"94","11.4","0",0.777777777777778,"a",0.711864406779661,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"95","12.8","0",0.777777777777778,"a",0.711864406779661,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"96","14.3","0",0.777777777777778,"a",0.711864406779661,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"97","15.7","0",0.777777777777778,"a",0.711864406779661,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"98","17.1","0",0.777777777777778,"a",0.711864406779661,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"99","18.6","0",0.796296296296296,"a",0.728813559322034,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"100","20","0",0.777777777777778,"a",0.711864406779661,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"101","7.1","1",0.166666666666667,"a",0.152542372881356,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
"102","8.5","1",0.166666666666667,"a",0.152542372881356,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"103","10","1",0.166666666666667,"a",0.152542372881356,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"104","11.4","1",0.166666666666667,"a",0.152542372881356,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"105","12.8","1",0.166666666666667,"a",0.152542372881356,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"106","14.3","1",0.166666666666667,"a",0.152542372881356,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"107","15.7","1",0.166666666666667,"a",0.152542372881356,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"108","17.1","1",0.166666666666667,"a",0.152542372881356,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"109","18.6","1",0.12962962962963,"a",0.11864406779661,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"110","20","1",0.166666666666667,"a",0.152542372881356,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"111","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
"112","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"113","10","2",0.0555555555555556,"a",0.0508474576271186,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"114","11.4","2",0.0555555555555556,"a",0.0508474576271186,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"115","12.8","2",0.0555555555555556,"a",0.0508474576271186,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"116","14.3","2",0.0555555555555556,"a",0.0508474576271186,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"117","15.7","2",0.0555555555555556,"a",0.0508474576271186,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"118","17.1","2",0.0555555555555556,"a",0.0508474576271186,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"119","18.6","2",0.0740740740740741,"a",0.0677966101694915,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"120","20","2",0.0555555555555556,"a",0.0508474576271186,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"121","7.1","0",0,"n",0,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"122","8.5","0",0,"n",0,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"123","10","0",0,"n",0,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"124","11.4","0",0,"n",0,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
"125","12.8","0",0,"n",0,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"126","14.3","0",0,"n",0,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"127","15.7","0",0,"n",0,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"128","17.1","0",0,"n",0,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"129","18.6","0",0,"n",0,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"130","20","0",0,"n",0,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"131","7.1","1",0,"n",0,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"132","8.5","1",0,"n",0,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"133","10","1",0,"n",0,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"134","11.4","1",0,"n",0,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
"135","12.8","1",0,"n",0,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"136","14.3","1",0,"n",0,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"137","15.7","1",0,"n",0,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"138","17.1","1",0,"n",0,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"139","18.6","1",0,"n",0,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"140","20","1",0,"n",0,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"141","7.1","2",1,"n",0.0847457627118644,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"142","8.5","2",1,"n",0.0847457627118644,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"143","10","2",1,"n",0.0847457627118644,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"144","11.4","2",1,"n",0.0847457627118644,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
"145","12.8","2",1,"n",0.0847457627118644,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"146","14.3","2",1,"n",0.0847457627118644,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"147","15.7","2",1,"n",0.0847457627118644,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"148","17.1","2",1,"n",0.0847457627118644,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"149","18.6","2",1,"n",0.0847457627118644,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"150","20","2",1,"n",0.0847457627118644,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"151","7.1","0",0.814814814814815,"a",0.745762711864407,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"152","8.5","0",0.814814814814815,"a",0.745762711864407,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"153","10","0",0.814814814814815,"a",0.745762711864407,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"154","11.4","0",0.833333333333333,"a",0.76271186440678,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
"155","12.8","0",0.833333333333333,"a",0.76271186440678,0.0483063138930763,8.6,0,59,0.0386570823899577,0.5,1,2
"156","14.3","0",0.796296296296296,"a",0.728813559322034,0.0484332660179724,9.9,0,59,0.0473119984750308,0.5,1,2
"157","15.7","0",0.796296296296296,"a",0.728813559322034,0.049358903482084,10.6,0,59,0.0562195528653911,0.5,1,2
"158","17.1","0",0.796296296296296,"a",0.728813559322034,0.0502537619109113,11.3,0,59,0.0663383787318634,0.5,1,2
"159","18.6","0",0.796296296296296,"a",0.728813559322034,0.0511425888071682,11.5,0,59,0.0777594716106196,0.5,1,2
"160","20","0",0.796296296296296,"a",0.728813559322034,0.0529750563161173,11.8,0,59,0.0877523638826425,0.5,1,2
"161","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0387271061963275,5.4,0,59,0.0163581058374281,0.5,1,2
"162","8.5","1",0.0925925925925926,"a",0.0847457627118644,0.0411716321269777,6.8,0,59,0.0212754621715009,0.5,1,2
"163","10","1",0.0925925925925926,"a",0.0847457627118644,0.0437675334366427,8.3,0,59,0.0280168332118403,0.5,1,2
"164","11.4","1",0.0555555555555556,"a",0.0508474576271186,0.0472446377368834,8.6,0,59,0.0342029517147445,0.5,1,2
