"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"1","7.1","0",0,"n",0,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"2","8.5","0",0,"n",0,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"3","10","0",0,"n",0,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"4","11.4","0",0,"n",0,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"5","12.8","0",0,"n",0,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
"6","14.3","0",0,"n",0,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"7","15.7","0",0,"n",0,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"8","17.1","0",0,"n",0,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"9","18.6","0",0,"n",0,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"10","20","0",0,"n",0,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"11","7.1","1",0,"n",0,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"12","8.5","1",0,"n",0,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"13","10","1",0,"n",0,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"14","11.4","1",0,"n",0,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"15","12.8","1",0,"n",0,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
"16","14.3","1",0,"n",0,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"17","15.7","1",0,"n",0,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"18","17.1","1",0,"n",0,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"19","18.6","1",0,"n",0,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"20","20","1",0,"n",0,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"24","11.4","2",1,"n",0.0847457627118644,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"25","12.8","2",1,"n",0.0847457627118644,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
"26","14.3","2",1,"n",0.0847457627118644,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"27","15.7","2",1,"n",0.0847457627118644,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"28","17.1","2",1,"n",0.0847457627118644,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"31","7.1","0",0.777777777777778,"a",0.711864406779661,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"32","8.5","0",0.777777777777778,"a",0.711864406779661,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"33","10","0",0.777777777777778,"a",0.711864406779661,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"34","11.4","0",0.777777777777778,"a",0.711864406779661,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"35","12.8","0",0.777777777777778,"a",0.711864406779661,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
