"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"65","12.8","0",0,"n",0,0.108111935595046,5.5,0,59,0.3
"66","14.3","0",0,"n",0,0.108540345854922,5.5,0,59,0.3
"67","15.7","0",0,"n",0,0.275703275713529,2.6,12.8,30,0.3
"68","17.1","0",0,"n",0,0.267700135878884,2.6,12.5,31,0.3
"69","18.6","0",0,"n",0,0.285842077646701,2.5,13.4,29,0.3
"70","20","0",0,"n",0,0.268904272357684,2.7,12.5,31,0.3
"71","7.1","1",0,"n",0,0.106334971388147,5.5,0,59,0.3
"72","8.5","1",0,"n",0,0.106789054098693,5.5,0,59,0.3
"73","10","1",0,"n",0,0.107236457925881,5.5,0,59,0.3
"74","11.4","1",0,"n",0,0.107677361262291,5.5,0,59,0.3
"75","12.8","1",0,"n",0,0.108111935595046,5.5,0,59,0.3
"76","14.3","1",0,"n",0,0.108540345854922,5.5,0,59,0.3
"77","15.7","1",0,"n",0,0.275703275713529,2.6,12.8,30,0.3
"78","17.1","1",0,"n",0,0.267700135878884,2.6,12.5,31,0.3
"79","18.6","1",0,"n",0,0.285842077646701,2.5,13.4,29,0.3
"80","20","1",0,"n",0,0.268904272357684,2.7,12.5,31,0.3
"81","7.1","2",1,"n",0.0847457627118644,0.106334971388147,5.5,0,59,0.3
"82","8.5","2",1,"n",0.0847457627118644,0.106789054098693,5.5,0,59,0.3
"83","10","2",1,"n",0.0847457627118644,0.107236457925881,5.5,0,59,0.3
"84","11.4","2",1,"n",0.0847457627118644,0.107677361262291,5.5,0,59,0.3
"85","12.8","2",1,"n",0.0847457627118644,0.108111935595046,5.5,0,59,0.3
"86","14.3","2",1,"n",0.0847457627118644,0.108540345854922,5.5,0,59,0.3
"87","15.7","2",1,"n",0.166666666666667,0.275703275713529,2.6,12.8,30,0.3
"88","17.1","2",1,"n",0.161290322580645,0.267700135878884,2.6,12.5,31,0.3
"89","18.6","2",1,"n",0.172413793103448,0.285842077646701,2.5,13.4,29,0.3
"90","20","2",1,"n",0.161290322580645,0.268904272357684,2.7,12.5,31,0.3
"91","7.1","0",0.777777777777778,"a",0.711864406779661,0.106334971388147,5.5,0,59,0.3
"92","8.5","0",0.777777777777778,"a",0.711864406779661,0.106789054098693,5.5,0,59,0.3
"93","10","0",0.777777777777778,"a",0.711864406779661,0.107236457925881,5.5,0,59,0.3
"94","11.4","0",0.777777777777778,"a",0.711864406779661,0.107677361262291,5.5,0,59,0.3
"95","12.8","0",0.777777777777778,"a",0.711864406779661,0.108111935595046,5.5,0,59,0.3
"96","14.3","0",0.777777777777778,"a",0.711864406779661,0.108540345854922,5.5,0,59,0.3
"97","15.7","0",0.56,"a",0.466666666666667,0.275703275713529,2.6,12.8,30,0.3
"98","17.1","0",0.576923076923077,"a",0.483870967741935,0.267700135878884,2.6,12.5,31,0.3
"99","18.6","0",0.541666666666667,"a",0.448275862068966,0.285842077646701,2.5,13.4,29,0.3
"100","20","0",0.576923076923077,"a",0.483870967741935,0.268904272357684,2.7,12.5,31,0.3
"101","7.1","1",0.166666666666667,"a",0.152542372881356,0.106334971388147,5.5,0,59,0.3
"102","8.5","1",0.166666666666667,"a",0.152542372881356,0.106789054098693,5.5,0,59,0.3
