"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka","kn","kn_ka"
"120","20","2",1,"a",0.192307692307692,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"121","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"122","8.5","0",0,"n",0,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"123","10","0",0.538461538461538,"n",0.304347826086957,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"124","11.4","0",0.571428571428571,"n",0.380952380952381,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"125","12.8","0",0.454545454545455,"n",0.277777777777778,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"126","14.3","0",0,"n",0,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"127","15.7","0",0.466666666666667,"n",0.333333333333333,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"128","17.1","0",0.466666666666667,"n",0.35,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"129","18.6","0",0.578947368421053,"n",0.458333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"130","20","0",0.652173913043478,"n",0.535714285714286,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"131","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"132","8.5","1",0,"n",0,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"133","10","1",0.0769230769230769,"n",0.0434782608695652,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"134","11.4","1",0.0714285714285714,"n",0.0476190476190476,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"135","12.8","1",0.0909090909090909,"n",0.0555555555555556,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"136","14.3","1",0.166666666666667,"n",0.0769230769230769,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"137","15.7","1",0.0666666666666667,"n",0.0476190476190476,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"138","17.1","1",0,"n",0,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"139","18.6","1",0,"n",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"140","20","1",0,"n",0,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"141","7.1","2",0.333333333333333,"n",0.227272727272727,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"142","8.5","2",1,"n",0.263157894736842,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"143","10","2",0.384615384615385,"n",0.217391304347826,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"144","11.4","2",0.357142857142857,"n",0.238095238095238,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"145","12.8","2",0.454545454545455,"n",0.277777777777778,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"146","14.3","2",0.833333333333333,"n",0.384615384615385,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"147","15.7","2",0.466666666666667,"n",0.333333333333333,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"148","17.1","2",0.533333333333333,"n",0.4,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"149","18.6","2",0.421052631578947,"n",0.333333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"150","20","2",0.347826086956522,"n",0.285714285714286,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"151","7.1","0",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"152","8.5","0",0.428571428571429,"a",0.315789473684211,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"153","10","0",0.3,"a",0.130434782608696,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"154","11.4","0",0,"a",0,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"155","12.8","0",0,"a",0,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"156","14.3","0",0,"a",0,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"157","15.7","0",0.166666666666667,"a",0.0476190476190476,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"158","17.1","0",0,"a",0,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"159","18.6","0",0,"a",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"160","20","0",0,"a",0,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"161","7.1","1",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"162","8.5","1",0.0714285714285714,"a",0.0526315789473684,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"163","10","1",0,"a",0,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"164","11.4","1",0,"a",0,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"165","12.8","1",0,"a",0,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"166","14.3","1",0,"a",0,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"167","15.7","1",0,"a",0,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"168","17.1","1",0,"a",0,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"169","18.6","1",0,"a",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"170","20","1",0,"a",0,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"171","7.1","2",1,"a",0.318181818181818,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1.1,1.3,1.18181818181818
"172","8.5","2",0.5,"a",0.368421052631579,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.1,1.3,1.18181818181818
"173","10","2",0.7,"a",0.304347826086957,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.1,1.3,1.18181818181818
"174","11.4","2",1,"a",0.333333333333333,0.123514380519979,2.6,26.9,21,0.143453824747416,1.1,1.3,1.18181818181818
"175","12.8","2",1,"a",0.388888888888889,0.168338218070757,1.7,29.6,18,0.165127124198717,1.1,1.3,1.18181818181818
"176","14.3","2",1,"a",0.538461538461538,0.276334300756266,0.199999999999999,34.1,13,0.193166338484406,1.1,1.3,1.18181818181818
"177","15.7","2",0.833333333333333,"a",0.238095238095238,0.132151078965253,3,33,21,0.208881854681059,1.1,1.3,1.18181818181818
"178","17.1","2",1,"a",0.25,0.149111570738717,2.8,35,20,0.222425196947694,1.1,1.3,1.18181818181818
"179","18.6","2",1,"a",0.208333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1.1,1.3,1.18181818181818
"180","20","2",1,"a",0.178571428571429,0.0744859094748209,7.1,33.4,28,0.242487949169602,1.1,1.3,1.18181818181818
"181","7.1","0",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1.2,1.3,1.08333333333333
"182","8.5","0",0,"n",0,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.2,1.3,1.08333333333333
"183","10","0",0.538461538461538,"n",0.304347826086957,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.2,1.3,1.08333333333333
"184","11.4","0",0.571428571428571,"n",0.380952380952381,0.123514380519979,2.6,26.9,21,0.143453824747416,1.2,1.3,1.08333333333333
"185","12.8","0",0.454545454545455,"n",0.263157894736842,0.149435466681887,2.1,29.8,19,0.169071565339806,1.2,1.3,1.08333333333333
"186","14.3","0",0.4,"n",0.181818181818182,0.118211420246311,3.3,30.7,22,0.191424223305194,1.2,1.3,1.08333333333333
"187","15.7","0",0.583333333333333,"n",0.35,0.1454332425045,3,34.3,20,0.216165370515567,1.2,1.3,1.08333333333333
"188","17.1","0",0.5,"n",0.315789473684211,0.162099054145644,2.6,36.9,19,0.231232929986498,1.2,1.3,1.08333333333333
"189","18.6","0",0.384615384615385,"n",0.277777777777778,0.182294882309739,2,38.9,18,0.241004101545606,1.2,1.3,1.08333333333333
"190","20","0",0.6,"n",0.413793103448276,0.0682286779415579,7.7,32.7,29,0.242487949169602,1.2,1.3,1.08333333333333
"191","7.1","1",0,"n",0,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1.2,1.3,1.08333333333333
"192","8.5","1",0,"n",0,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.2,1.3,1.08333333333333
"193","10","1",0.0769230769230769,"n",0.0434782608695652,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.2,1.3,1.08333333333333
"194","11.4","1",0.0714285714285714,"n",0.0476190476190476,0.123514380519979,2.6,26.9,21,0.143453824747416,1.2,1.3,1.08333333333333
"195","12.8","1",0.272727272727273,"n",0.157894736842105,0.149435466681887,2.1,29.8,19,0.169071565339806,1.2,1.3,1.08333333333333
"196","14.3","1",0.1,"n",0.0454545454545455,0.118211420246311,3.3,30.7,22,0.191424223305194,1.2,1.3,1.08333333333333
"197","15.7","1",0,"n",0,0.1454332425045,3,34.3,20,0.216165370515567,1.2,1.3,1.08333333333333
"198","17.1","1",0.0833333333333333,"n",0.0526315789473684,0.162099054145644,2.6,36.9,19,0.231232929986498,1.2,1.3,1.08333333333333
"199","18.6","1",0,"n",0,0.182294882309739,2,38.9,18,0.241004101545606,1.2,1.3,1.08333333333333
"200","20","1",0,"n",0,0.0682286779415579,7.7,32.7,29,0.242487949169602,1.2,1.3,1.08333333333333
"201","7.1","2",1,"n",0.227272727272727,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1.2,1.3,1.08333333333333
"202","8.5","2",1,"n",0.263157894736842,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.2,1.3,1.08333333333333
"203","10","2",0.384615384615385,"n",0.217391304347826,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.2,1.3,1.08333333333333
"204","11.4","2",0.357142857142857,"n",0.238095238095238,0.123514380519979,2.6,26.9,21,0.143453824747416,1.2,1.3,1.08333333333333
"205","12.8","2",0.272727272727273,"n",0.157894736842105,0.149435466681887,2.1,29.8,19,0.169071565339806,1.2,1.3,1.08333333333333
"206","14.3","2",0.5,"n",0.227272727272727,0.118211420246311,3.3,30.7,22,0.191424223305194,1.2,1.3,1.08333333333333
"207","15.7","2",0.416666666666667,"n",0.25,0.1454332425045,3,34.3,20,0.216165370515567,1.2,1.3,1.08333333333333
"208","17.1","2",0.416666666666667,"n",0.263157894736842,0.162099054145644,2.6,36.9,19,0.231232929986498,1.2,1.3,1.08333333333333
"209","18.6","2",0.615384615384615,"n",0.444444444444444,0.182294882309739,2,38.9,18,0.241004101545606,1.2,1.3,1.08333333333333
"210","20","2",0.4,"n",0.275862068965517,0.0682286779415579,7.7,32.7,29,0.242487949169602,1.2,1.3,1.08333333333333
"211","7.1","0",0.529411764705882,"a",0.409090909090909,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1.2,1.3,1.08333333333333
"212","8.5","0",0.428571428571429,"a",0.315789473684211,0.139571995140054,1.3,21.9,19,0.0831983826400026,1.2,1.3,1.08333333333333
"213","10","0",0.3,"a",0.130434782608696,0.0985943145283051,2.9,23.7,23,0.114064668269126,1.2,1.3,1.08333333333333
"214","11.4","0",0,"a",0,0.123514380519979,2.6,26.9,21,0.143453824747416,1.2,1.3,1.08333333333333
"215","12.8","0",0,"a",0,0.149435466681887,2.1,29.8,19,0.169071565339806,1.2,1.3,1.08333333333333
"216","14.3","0",0.416666666666667,"a",0.227272727272727,0.118211420246311,3.3,30.7,22,0.191424223305194,1.2,1.3,1.08333333333333
"217","15.7","0",0,"a",0,0.1454332425045,3,34.3,20,0.216165370515567,1.2,1.3,1.08333333333333
"218","17.1","0",0,"a",0,0.162099054145644,2.6,36.9,19,0.231232929986498,1.2,1.3,1.08333333333333
"219","18.6","0",0,"a",0,0.182294882309739,2,38.9,18,0.241004101545606,1.2,1.3,1.08333333333333
"220","20","0",0.444444444444444,"a",0.137931034482759,0.0682286779415579,7.7,32.7,29,0.242487949169602,1.2,1.3,1.08333333333333
"221","7.1","1",0.0588235294117647,"a",0.0454545454545455,0.0991639744872323,1.9,18.2,22,0.0595301993804354,1.2,1.3,1.08333333333333
