"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba"
"1","7.1","0",0,"n",0,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"2","8.5","0",0,"n",0,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"3","10","0",0,"n",0,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"4","11.4","0",0,"n",0,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"5","12.8","0",0,"n",0,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
"6","14.3","0",0,"n",0,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"7","15.7","0",0,"n",0,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"8","17.1","0",0,"n",0,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"9","18.6","0",0,"n",0,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"10","20","0",0,"n",0,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"11","7.1","1",0,"n",0,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"12","8.5","1",0,"n",0,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"13","10","1",0,"n",0,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"14","11.4","1",0,"n",0,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"15","12.8","1",0,"n",0,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
"16","14.3","1",0,"n",0,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"17","15.7","1",0,"n",0,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"18","17.1","1",0,"n",0,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"19","18.6","1",0,"n",0,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"20","20","1",0,"n",0,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"21","7.1","2",1,"n",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"22","8.5","2",1,"n",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"23","10","2",1,"n",0.0847457627118644,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"24","11.4","2",1,"n",0.142857142857143,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"25","12.8","2",1,"n",0.161290322580645,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
"26","14.3","2",1,"n",0.185185185185185,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1
"27","15.7","2",1,"n",0.166666666666667,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1
"28","17.1","2",1,"n",0.151515151515152,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1
"29","18.6","2",1,"n",0.0847457627118644,0.0289248832704067,11,0,59,0.0725266478087706,0.1
"30","20","2",1,"n",0.0847457627118644,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1
"31","7.1","0",0.814814814814815,"a",0.745762711864407,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1
"32","8.5","0",0.814814814814815,"a",0.745762711864407,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1
"33","10","0",0.851851851851852,"a",0.779661016949153,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1
"34","11.4","0",0.733333333333333,"a",0.628571428571429,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1
"35","12.8","0",0.692307692307692,"a",0.580645161290323,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1
