"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"48","17.1","1",0,"a",0,0.00861496324994825,27.9,0,59,0.167798465434287,0.1,1,0.1
"49","18.6","1",0,"a",0,0.0090690387136315,30.1,0,59,0.187320059821223,0.1,1,0.1
"50","20","1",0.2,"a",0.0169491525423729,0.00940877955566194,30.8,0,59,0.200230738857637,0.1,1,0.1
"51","7.1","2",0.8,"a",0.117647058823529,0.042375539697341,4.9,13.6,34,0.0519611223828166,0.1,1,0.1
"52","8.5","2",0.8,"a",0.148148148148148,0.0826045814779049,3.5,19,27,0.0774996901503023,0.1,1,0.1
"53","10","2",1,"a",0.09375,0.0564684037560146,6.1,18.8,32,0.101598148942839,0.1,1,0.1
"54","11.4","2",1,"a",0.15625,0.0603970162031448,6.5,20.1,32,0.121484492805138,0.1,1,0.1
"55","12.8","2",1,"a",0.166666666666667,0.073618237481762,6.2,23.5,30,0.15235449509957,0.1,1,0.1
"56","14.3","2",1,"a",0.0847457627118644,0.00800562939321343,25.1,0,59,0.126971663057393,0.1,1,0.1
"57","15.7","2",0.8,"a",0.0677966101694915,0.00846732697475066,25.7,0,59,0.143790252918282,0.1,1,0.1
"58","17.1","2",1,"a",0.0677966101694915,0.00861496324994825,27.9,0,59,0.167798465434287,0.1,1,0.1
"59","18.6","2",1,"a",0.0847457627118644,0.0090690387136315,30.1,0,59,0.187320059821223,0.1,1,0.1
"60","20","2",0.8,"a",0.0677966101694915,0.00940877955566194,30.8,0,59,0.200230738857637,0.1,1,0.1
"61","7.1","0",0.578947368421053,"n",0.458333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"62","8.5","0",0.583333333333333,"n",0.5,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
"63","10","0",0.545454545454545,"n",0.461538461538462,0.0933885398496496,3.6,21.8,26,0.104828335740565,0.3,1,0.3
"64","11.4","0",0.642857142857143,"n",0.5625,0.05891369940328,6.5,20.1,32,0.121484492805138,0.3,1,0.3
"65","12.8","0",0.615384615384615,"n",0.533333333333333,0.072290603020477,6.1,23.4,30,0.150990919346264,0.3,1,0.3
"66","14.3","0",0.636363636363636,"n",0.518518518518518,0.09622479744883,4.9,27.5,27,0.18180159202578,0.3,1,0.3
"67","15.7","0",0.851851851851852,"n",0.779661016949153,0.0083981190922782,24,0,59,0.132227226453356,0.3,1,0.3
"68","17.1","0",0.818181818181818,"n",0.76271186440678,0.00849629146280105,26,0,59,0.155108054166416,0.3,1,0.3
"69","18.6","0",0.818181818181818,"n",0.76271186440678,0.00882757400241867,27.5,0,59,0.174922404948068,0.3,1,0.3
"70","20","0",0.818181818181818,"n",0.76271186440678,0.00906190570711345,29.1,0,59,0.192627584392453,0.3,1,0.3
"71","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.3,1,0.3
"72","8.5","1",0.0833333333333333,"n",0.0714285714285714,0.0743876451252072,3.5,18.2,28,0.0736545834223382,0.3,1,0.3
