"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","seeds"
"397","15.7","0",0,"a",0,0.0870078451919822,3.3,14.8,25,7
"398","17.1","0",0,"a",0,0.0959788104814027,3.1,15.3,24,7
"399","18.6","0",0,"a",0,0.0963869011273017,3,15.3,24,7
"400","20","0",0,"a",0,0.0967896625391423,3.1,15.3,24,7
"401","7.1","1",0.4,"a",0.0769230769230769,0.0778127171059922,3.4,13.8,26,7
"402","8.5","1",0.4,"a",0.08,0.0859950714076082,3.2,14.3,25,7
"403","10","1",0.4,"a",0.08,0.0864199383746693,3.2,14.3,25,7
"404","11.4","1",0.4,"a",0.08,0.086838942504958,3.2,14.4,25,7
"405","12.8","1",0.4,"a",0.08,0.0872522323118234,3.2,14.6,25,7
"406","14.3","1",0.4,"a",0.08,0.0876599508256816,3.2,14.8,25,7
"407","15.7","1",0,"a",0,0.0870078451919822,3.3,14.8,25,7
"408","17.1","1",0,"a",0,0.0959788104814027,3.1,15.3,24,7
"409","18.6","1",0,"a",0,0.0963869011273017,3,15.3,24,7
"410","20","1",0,"a",0,0.0967896625391423,3.1,15.3,24,7
"411","7.1","2",0.6,"a",0.115384615384615,0.0778127171059922,3.4,13.8,26,7
"412","8.5","2",0.6,"a",0.12,0.0859950714076082,3.2,14.3,25,7
"413","10","2",0.6,"a",0.12,0.0864199383746693,3.2,14.3,25,7
"414","11.4","2",0.6,"a",0.12,0.086838942504958,3.2,14.4,25,7
"415","12.8","2",0.6,"a",0.12,0.0872522323118234,3.2,14.6,25,7
"416","14.3","2",0.6,"a",0.12,0.0876599508256816,3.2,14.8,25,7
"417","15.7","2",1,"a",0.2,0.0870078451919822,3.3,14.8,25,7
"418","17.1","2",1,"a",0.208333333333333,0.0959788104814027,3.1,15.3,24,7
"419","18.6","2",1,"a",0.208333333333333,0.0963869011273017,3,15.3,24,7
"420","20","2",1,"a",0.208333333333333,0.0967896625391423,3.1,15.3,24,7
"421","7.1","0",0.545454545454545,"n",0.461538461538462,0.0787574520711064,3.4,13.8,26,8
"422","8.5","0",0.523809523809524,"n",0.44,0.0870391389081885,3.2,14.3,25,8
"423","10","0",0.523809523809524,"n",0.44,0.0874691537794986,3.2,14.3,25,8
"424","11.4","0",0.523809523809524,"n",0.44,0.0878932347270126,3.2,14.4,25,8
"425","12.8","0",0.523809523809524,"n",0.44,0.0883115320658153,3.2,14.6,25,8
"426","14.3","0",0.583333333333333,"n",0.5,0.0669234910894902,3.8,13.6,28,8
"427","15.7","0",0.5,"n",0.416666666666667,0.0967247586810597,3.1,15.1,24,8
"428","17.1","0",0.5,"n",0.416666666666667,0.097143317560145,3.1,15.3,24,8
"429","18.6","0",0.5,"n",0.416666666666667,0.0975563491529079,3.1,15.3,24,8
"430","20","0",0.5,"n",0.416666666666667,0.0991525591308881,3.1,15.3,24,8
"431","7.1","1",0.0454545454545455,"n",0.0384615384615385,0.0787574520711064,3.4,13.8,26,8
"432","8.5","1",0.0476190476190476,"n",0.04,0.0870391389081885,3.2,14.3,25,8
"433","10","1",0.0476190476190476,"n",0.04,0.0874691537794986,3.2,14.3,25,8
"434","11.4","1",0.0476190476190476,"n",0.04,0.0878932347270126,3.2,14.4,25,8
"435","12.8","1",0.0476190476190476,"n",0.04,0.0883115320658153,3.2,14.6,25,8
"436","14.3","1",0.0416666666666667,"n",0.0357142857142857,0.0669234910894902,3.8,13.6,28,8
"437","15.7","1",0.15,"n",0.125,0.0967247586810597,3.1,15.1,24,8
"438","17.1","1",0.15,"n",0.125,0.097143317560145,3.1,15.3,24,8
"439","18.6","1",0.15,"n",0.125,0.0975563491529079,3.1,15.3,24,8
"440","20","1",0.1,"n",0.0833333333333333,0.0991525591308881,3.1,15.3,24,8
"441","7.1","2",0.409090909090909,"n",0.346153846153846,0.0787574520711064,3.4,13.8,26,8
"442","8.5","2",0.428571428571429,"n",0.36,0.0870391389081885,3.2,14.3,25,8
"443","10","2",0.428571428571429,"n",0.36,0.0874691537794986,3.2,14.3,25,8
"444","11.4","2",0.428571428571429,"n",0.36,0.0878932347270126,3.2,14.4,25,8
"445","12.8","2",0.428571428571429,"n",0.36,0.0883115320658153,3.2,14.6,25,8
"446","14.3","2",0.375,"n",0.321428571428571,0.0669234910894902,3.8,13.6,28,8
"447","15.7","2",0.35,"n",0.291666666666667,0.0967247586810597,3.1,15.1,24,8
"448","17.1","2",0.35,"n",0.291666666666667,0.097143317560145,3.1,15.3,24,8
"449","18.6","2",0.35,"n",0.291666666666667,0.0975563491529079,3.1,15.3,24,8
"450","20","2",0.4,"n",0.333333333333333,0.0991525591308881,3.1,15.3,24,8
"451","7.1","0",0,"a",0,0.0787574520711064,3.4,13.8,26,8
"452","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,8
"453","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,8
"454","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,8
"455","12.8","0",0,"a",0,0.0883115320658153,3.2,14.6,25,8
"456","14.3","0",0,"a",0,0.0669234910894902,3.8,13.6,28,8
"457","15.7","0",0,"a",0,0.0967247586810597,3.1,15.1,24,8
"458","17.1","0",0,"a",0,0.097143317560145,3.1,15.3,24,8
"459","18.6","0",0,"a",0,0.0975563491529079,3.1,15.3,24,8
"460","20","0",0,"a",0,0.0991525591308881,3.1,15.3,24,8
"461","7.1","1",0.25,"a",0.0384615384615385,0.0787574520711064,3.4,13.8,26,8
"462","8.5","1",0.25,"a",0.04,0.0870391389081885,3.2,14.3,25,8
"463","10","1",0.25,"a",0.04,0.0874691537794986,3.2,14.3,25,8
"464","11.4","1",0.25,"a",0.04,0.0878932347270126,3.2,14.4,25,8
