"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","seeds"
"51","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,1
"52","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,1
"53","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,1
"54","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,1
"55","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,1
"56","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,1
"57","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,1
"58","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,1
"59","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,1
"60","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,1
"61","7.1","0",0.523809523809524,"n",0.44,0.08660366421615,3.2,14.1,25,2
"62","8.5","0",0.523809523809524,"n",0.44,0.0859956972239847,3.2,14.3,25,2
"63","10","0",0.523809523809524,"n",0.44,0.0864205672705489,3.2,14.3,25,2
"64","11.4","0",0.6,"n",0.517241379310345,0.0602587664309482,4,12.9,29,2
"65","12.8","0",0.6,"n",0.517241379310345,0.0598647541633808,4,13.1,29,2
"66","14.3","0",0.523809523809524,"n",0.44,0.0876605887090218,3.2,14.8,25,2
"67","15.7","0",0.5,"n",0.416666666666667,0.0967247586810597,3.3,15.1,24,2
"68","17.1","0",0.5,"n",0.416666666666667,0.097143317560145,3.3,15.3,24,2
"69","18.6","0",0.5,"n",0.416666666666667,0.0975563491529079,3.3,15.3,24,2
"70","20","0",0.5,"n",0.416666666666667,0.0979632741374501,3.2,15.3,24,2
"71","7.1","1",0.0952380952380952,"n",0.08,0.08660366421615,3.2,14.1,25,2
"72","8.5","1",0.0952380952380952,"n",0.08,0.0859956972239847,3.2,14.3,25,2
"73","10","1",0.0952380952380952,"n",0.08,0.0864205672705489,3.2,14.3,25,2
"74","11.4","1",0.08,"n",0.0689655172413793,0.0602587664309482,4,12.9,29,2
"75","12.8","1",0.08,"n",0.0689655172413793,0.0598647541633808,4,13.1,29,2
"76","14.3","1",0.0952380952380952,"n",0.08,0.0876605887090218,3.2,14.8,25,2
"77","15.7","1",0.15,"n",0.125,0.0967247586810597,3.3,15.1,24,2
"78","17.1","1",0.15,"n",0.125,0.097143317560145,3.3,15.3,24,2
"79","18.6","1",0.15,"n",0.125,0.0975563491529079,3.3,15.3,24,2
"80","20","1",0.1,"n",0.0833333333333333,0.0979632741374501,3.2,15.3,24,2
"81","7.1","2",0.380952380952381,"n",0.32,0.08660366421615,3.2,14.1,25,2
"82","8.5","2",0.380952380952381,"n",0.32,0.0859956972239847,3.2,14.3,25,2
"83","10","2",0.380952380952381,"n",0.32,0.0864205672705489,3.2,14.3,25,2
"84","11.4","2",0.32,"n",0.275862068965517,0.0602587664309482,4,12.9,29,2
"85","12.8","2",0.32,"n",0.275862068965517,0.0598647541633808,4,13.1,29,2
"86","14.3","2",0.380952380952381,"n",0.32,0.0876605887090218,3.2,14.8,25,2
"87","15.7","2",0.35,"n",0.291666666666667,0.0967247586810597,3.3,15.1,24,2
"88","17.1","2",0.35,"n",0.291666666666667,0.097143317560145,3.3,15.3,24,2
"89","18.6","2",0.35,"n",0.291666666666667,0.0975563491529079,3.3,15.3,24,2
"90","20","2",0.4,"n",0.333333333333333,0.0979632741374501,3.2,15.3,24,2
"91","7.1","0",0,"a",0,0.08660366421615,3.2,14.1,25,2
"92","8.5","0",0,"a",0,0.0859956972239847,3.2,14.3,25,2
"93","10","0",0,"a",0,0.0864205672705489,3.2,14.3,25,2
"94","11.4","0",0,"a",0,0.0602587664309482,4,12.9,29,2
"95","12.8","0",0,"a",0,0.0598647541633808,4,13.1,29,2
"96","14.3","0",0,"a",0,0.0876605887090218,3.2,14.8,25,2
"97","15.7","0",0,"a",0,0.0967247586810597,3.3,15.1,24,2
"98","17.1","0",0,"a",0,0.097143317560145,3.3,15.3,24,2
"99","18.6","0",0,"a",0,0.0975563491529079,3.3,15.3,24,2
"100","20","0",0,"a",0,0.0979632741374501,3.2,15.3,24,2
"101","7.1","1",0,"a",0,0.08660366421615,3.2,14.1,25,2
"102","8.5","1",0.25,"a",0.04,0.0859956972239847,3.2,14.3,25,2
"103","10","1",0.25,"a",0.04,0.0864205672705489,3.2,14.3,25,2
"104","11.4","1",0,"a",0,0.0602587664309482,4,12.9,29,2
"105","12.8","1",0.25,"a",0.0344827586206897,0.0598647541633808,4,13.1,29,2
"106","14.3","1",0.25,"a",0.04,0.0876605887090218,3.2,14.8,25,2
"107","15.7","1",0,"a",0,0.0967247586810597,3.3,15.1,24,2
"108","17.1","1",0,"a",0,0.097143317560145,3.3,15.3,24,2
"109","18.6","1",0,"a",0,0.0975563491529079,3.3,15.3,24,2
"110","20","1",0.25,"a",0.0416666666666667,0.0979632741374501,3.2,15.3,24,2
"111","7.1","2",1,"a",0.16,0.08660366421615,3.2,14.1,25,2
"112","8.5","2",0.75,"a",0.12,0.0859956972239847,3.2,14.3,25,2
"113","10","2",0.75,"a",0.12,0.0864205672705489,3.2,14.3,25,2
"114","11.4","2",1,"a",0.137931034482759,0.0602587664309482,4,12.9,29,2
"115","12.8","2",0.75,"a",0.103448275862069,0.0598647541633808,4,13.1,29,2
"116","14.3","2",0.75,"a",0.12,0.0876605887090218,3.2,14.8,25,2
"117","15.7","2",1,"a",0.166666666666667,0.0967247586810597,3.3,15.1,24,2
"118","17.1","2",1,"a",0.166666666666667,0.097143317560145,3.3,15.3,24,2
"119","18.6","2",1,"a",0.166666666666667,0.0975563491529079,3.3,15.3,24,2
"120","20","2",0.75,"a",0.125,0.0979632741374501,3.2,15.3,24,2
"121","7.1","0",0.611111111111111,"n",0.458333333333333,0.0940885205547914,3,14.4,24,3
"122","8.5","0",0.631578947368421,"n",0.48,0.0859956972239847,3.2,14.3,25,3
"123","10","0",0.631578947368421,"n",0.48,0.0864205672705489,3.2,14.3,25,3
"124","11.4","0",0.631578947368421,"n",0.48,0.0868395744377862,3.2,14.4,25,3
"125","12.8","0",0.631578947368421,"n",0.48,0.0872528672401257,3.2,14.6,25,3
"126","14.3","0",0.631578947368421,"n",0.48,0.0876605887090218,3.2,14.8,25,3
"127","15.7","0",0.631578947368421,"n",0.48,0.0880628766582852,3.2,14.8,25,3
"128","17.1","0",0.611111111111111,"n",0.458333333333333,0.0971426106991242,3,15.3,24,3
"129","18.6","0",0.611111111111111,"n",0.458333333333333,0.0975556392990267,3,15.3,24,3
"130","20","0",0.611111111111111,"n",0.458333333333333,0.0979632741374501,3,15.3,24,3
"131","7.1","1",0,"n",0,0.0940885205547914,3,14.4,24,3
"132","8.5","1",0,"n",0,0.0859956972239847,3.2,14.3,25,3
"133","10","1",0,"n",0,0.0864205672705489,3.2,14.3,25,3
"134","11.4","1",0,"n",0,0.0868395744377862,3.2,14.4,25,3
"135","12.8","1",0,"n",0,0.0872528672401257,3.2,14.6,25,3
"136","14.3","1",0,"n",0,0.0876605887090218,3.2,14.8,25,3
"137","15.7","1",0,"n",0,0.0880628766582852,3.2,14.8,25,3
"138","17.1","1",0,"n",0,0.0971426106991242,3,15.3,24,3
"139","18.6","1",0,"n",0,0.0975556392990267,3,15.3,24,3
"140","20","1",0,"n",0,0.0979632741374501,3,15.3,24,3
"141","7.1","2",0.388888888888889,"n",0.291666666666667,0.0940885205547914,3,14.4,24,3
"142","8.5","2",0.368421052631579,"n",0.28,0.0859956972239847,3.2,14.3,25,3
"143","10","2",0.368421052631579,"n",0.28,0.0864205672705489,3.2,14.3,25,3
"144","11.4","2",0.368421052631579,"n",0.28,0.0868395744377862,3.2,14.4,25,3
"145","12.8","2",0.368421052631579,"n",0.28,0.0872528672401257,3.2,14.6,25,3
"146","14.3","2",0.368421052631579,"n",0.28,0.0876605887090218,3.2,14.8,25,3
"147","15.7","2",0.368421052631579,"n",0.28,0.0880628766582852,3.2,14.8,25,3
"148","17.1","2",0.388888888888889,"n",0.291666666666667,0.0971426106991242,3,15.3,24,3
"149","18.6","2",0.388888888888889,"n",0.291666666666667,0.0975556392990267,3,15.3,24,3
"150","20","2",0.388888888888889,"n",0.291666666666667,0.0979632741374501,3,15.3,24,3
"151","7.1","0",0,"a",0,0.0940885205547914,3,14.4,24,3
"152","8.5","0",0,"a",0,0.0859956972239847,3.2,14.3,25,3
"153","10","0",0,"a",0,0.0864205672705489,3.2,14.3,25,3
"154","11.4","0",0,"a",0,0.0868395744377862,3.2,14.4,25,3
"155","12.8","0",0,"a",0,0.0872528672401257,3.2,14.6,25,3
"156","14.3","0",0,"a",0,0.0876605887090218,3.2,14.8,25,3
"157","15.7","0",0,"a",0,0.0880628766582852,3.2,14.8,25,3
"158","17.1","0",0,"a",0,0.0971426106991242,3,15.3,24,3
"159","18.6","0",0,"a",0,0.0975556392990267,3,15.3,24,3
"160","20","0",0,"a",0,0.0979632741374501,3,15.3,24,3
"161","7.1","1",0.166666666666667,"a",0.0416666666666667,0.0940885205547914,3,14.4,24,3
"162","8.5","1",0.166666666666667,"a",0.04,0.0859956972239847,3.2,14.3,25,3
"163","10","1",0.166666666666667,"a",0.04,0.0864205672705489,3.2,14.3,25,3
"164","11.4","1",0.166666666666667,"a",0.04,0.0868395744377862,3.2,14.4,25,3
"165","12.8","1",0.166666666666667,"a",0.04,0.0872528672401257,3.2,14.6,25,3
"166","14.3","1",0.166666666666667,"a",0.04,0.0876605887090218,3.2,14.8,25,3
"167","15.7","1",0.166666666666667,"a",0.04,0.0880628766582852,3.2,14.8,25,3
"168","17.1","1",0.166666666666667,"a",0.0416666666666667,0.0971426106991242,3,15.3,24,3
"169","18.6","1",0.166666666666667,"a",0.0416666666666667,0.0975556392990267,3,15.3,24,3
"170","20","1",0.166666666666667,"a",0.0416666666666667,0.0979632741374501,3,15.3,24,3
"171","7.1","2",0.833333333333333,"a",0.208333333333333,0.0940885205547914,3,14.4,24,3
"172","8.5","2",0.833333333333333,"a",0.2,0.0859956972239847,3.2,14.3,25,3
"173","10","2",0.833333333333333,"a",0.2,0.0864205672705489,3.2,14.3,25,3
"174","11.4","2",0.833333333333333,"a",0.2,0.0868395744377862,3.2,14.4,25,3
"175","12.8","2",0.833333333333333,"a",0.2,0.0872528672401257,3.2,14.6,25,3
"176","14.3","2",0.833333333333333,"a",0.2,0.0876605887090218,3.2,14.8,25,3
"177","15.7","2",0.833333333333333,"a",0.2,0.0880628766582852,3.2,14.8,25,3
"178","17.1","2",0.833333333333333,"a",0.208333333333333,0.0971426106991242,3,15.3,24,3
"179","18.6","2",0.833333333333333,"a",0.208333333333333,0.0975556392990267,3,15.3,24,3
"180","20","2",0.833333333333333,"a",0.208333333333333,0.0979632741374501,3,15.3,24,3
"181","7.1","0",0.565217391304348,"n",0.5,0.0816598480848423,3.5,13.8,26,4
"182","8.5","0",0.545454545454545,"n",0.48,0.0902467015983286,3.3,14.3,25,4
"183","10","0",0.545454545454545,"n",0.48,0.0906925309978837,3.3,14.3,25,4
"184","11.4","0",0.545454545454545,"n",0.48,0.0911322080883865,3.3,14.4,25,4
"185","12.8","0",0.545454545454545,"n",0.48,0.0915658887200752,3.3,14.6,25,4
"186","14.3","0",0.545454545454545,"n",0.48,0.0919937229892482,3.3,14.8,25,4
"187","15.7","0",0.523809523809524,"n",0.458333333333333,0.100288353183228,3.1,15.1,24,4
"188","17.1","0",0.523809523809524,"n",0.458333333333333,0.100722300086251,3.1,15.3,24,4
"189","18.6","0",0.523809523809524,"n",0.458333333333333,0.101150516358257,3.1,15.3,24,4
"190","20","0",0.523809523809524,"n",0.458333333333333,0.102805501526936,3.1,15.3,24,4
"191","7.1","1",0,"n",0,0.0816598480848423,3.5,13.8,26,4
"192","8.5","1",0,"n",0,0.0902467015983286,3.3,14.3,25,4
"193","10","1",0,"n",0,0.0906925309978837,3.3,14.3,25,4
"194","11.4","1",0,"n",0,0.0911322080883865,3.3,14.4,25,4
"195","12.8","1",0,"n",0,0.0915658887200752,3.3,14.6,25,4
"196","14.3","1",0,"n",0,0.0919937229892482,3.3,14.8,25,4
"197","15.7","1",0.0476190476190476,"n",0.0416666666666667,0.100288353183228,3.1,15.1,24,4
"198","17.1","1",0.0476190476190476,"n",0.0416666666666667,0.100722300086251,3.1,15.3,24,4
"199","18.6","1",0.0476190476190476,"n",0.0416666666666667,0.101150516358257,3.1,15.3,24,4
"200","20","1",0,"n",0,0.102805501526936,3.1,15.3,24,4
"201","7.1","2",0.434782608695652,"n",0.384615384615385,0.0816598480848423,3.5,13.8,26,4
"202","8.5","2",0.454545454545455,"n",0.4,0.0902467015983286,3.3,14.3,25,4
"203","10","2",0.454545454545455,"n",0.4,0.0906925309978837,3.3,14.3,25,4
"204","11.4","2",0.454545454545455,"n",0.4,0.0911322080883865,3.3,14.4,25,4
"205","12.8","2",0.454545454545455,"n",0.4,0.0915658887200752,3.3,14.6,25,4
"206","14.3","2",0.454545454545455,"n",0.4,0.0919937229892482,3.3,14.8,25,4
"207","15.7","2",0.428571428571429,"n",0.375,0.100288353183228,3.1,15.1,24,4
"208","17.1","2",0.428571428571429,"n",0.375,0.100722300086251,3.1,15.3,24,4
"209","18.6","2",0.428571428571429,"n",0.375,0.101150516358257,3.1,15.3,24,4
"210","20","2",0.476190476190476,"n",0.416666666666667,0.102805501526936,3.1,15.3,24,4
"211","7.1","0",0,"a",0,0.0816598480848423,3.5,13.8,26,4
"212","8.5","0",0,"a",0,0.0902467015983286,3.3,14.3,25,4
"213","10","0",0,"a",0,0.0906925309978837,3.3,14.3,25,4
"214","11.4","0",0,"a",0,0.0911322080883865,3.3,14.4,25,4
"215","12.8","0",0,"a",0,0.0915658887200752,3.3,14.6,25,4
"216","14.3","0",0,"a",0,0.0919937229892482,3.3,14.8,25,4
"217","15.7","0",0,"a",0,0.100288353183228,3.1,15.1,24,4
"218","17.1","0",0,"a",0,0.100722300086251,3.1,15.3,24,4
"219","18.6","0",0,"a",0,0.101150516358257,3.1,15.3,24,4
"220","20","0",0,"a",0,0.102805501526936,3.1,15.3,24,4
"221","7.1","1",0,"a",0,0.0816598480848423,3.5,13.8,26,4
"222","8.5","1",0,"a",0,0.0902467015983286,3.3,14.3,25,4
"223","10","1",0,"a",0,0.0906925309978837,3.3,14.3,25,4
"224","11.4","1",0,"a",0,0.0911322080883865,3.3,14.4,25,4
"225","12.8","1",0,"a",0,0.0915658887200752,3.3,14.6,25,4
"226","14.3","1",0,"a",0,0.0919937229892482,3.3,14.8,25,4
"227","15.7","1",0,"a",0,0.100288353183228,3.1,15.1,24,4
"228","17.1","1",0,"a",0,0.100722300086251,3.1,15.3,24,4
"229","18.6","1",0,"a",0,0.101150516358257,3.1,15.3,24,4
"230","20","1",0,"a",0,0.102805501526936,3.1,15.3,24,4
"231","7.1","2",1,"a",0.115384615384615,0.0816598480848423,3.5,13.8,26,4
"232","8.5","2",1,"a",0.12,0.0902467015983286,3.3,14.3,25,4
"233","10","2",1,"a",0.12,0.0906925309978837,3.3,14.3,25,4
"234","11.4","2",1,"a",0.12,0.0911322080883865,3.3,14.4,25,4
"235","12.8","2",1,"a",0.12,0.0915658887200752,3.3,14.6,25,4
"236","14.3","2",1,"a",0.12,0.0919937229892482,3.3,14.8,25,4
"237","15.7","2",1,"a",0.125,0.100288353183228,3.1,15.1,24,4
"238","17.1","2",1,"a",0.125,0.100722300086251,3.1,15.3,24,4
"239","18.6","2",1,"a",0.125,0.101150516358257,3.1,15.3,24,4
"240","20","2",1,"a",0.125,0.102805501526936,3.1,15.3,24,4
"241","7.1","0",0.611111111111111,"n",0.458333333333333,0.0940885205547914,3,14.4,24,5
"242","8.5","0",0.631578947368421,"n",0.48,0.0859956972239847,3.2,14.3,25,5
"243","10","0",0.631578947368421,"n",0.48,0.0864205672705489,3.2,14.3,25,5
"244","11.4","0",0.631578947368421,"n",0.48,0.0868395744377862,3.2,14.4,25,5
"245","12.8","0",0.631578947368421,"n",0.48,0.0872528672401257,3.2,14.6,25,5
"246","14.3","0",0.631578947368421,"n",0.48,0.0876605887090218,3.2,14.8,25,5
"247","15.7","0",0.631578947368421,"n",0.48,0.0880628766582852,3.2,14.8,25,5
"248","17.1","0",0.611111111111111,"n",0.458333333333333,0.0971426106991242,3,15.3,24,5
"249","18.6","0",0.611111111111111,"n",0.458333333333333,0.0975556392990267,3,15.3,24,5
"250","20","0",0.611111111111111,"n",0.458333333333333,0.0979632741374501,3,15.3,24,5
"251","7.1","1",0,"n",0,0.0940885205547914,3,14.4,24,5
"252","8.5","1",0,"n",0,0.0859956972239847,3.2,14.3,25,5
"253","10","1",0,"n",0,0.0864205672705489,3.2,14.3,25,5
"254","11.4","1",0,"n",0,0.0868395744377862,3.2,14.4,25,5
"255","12.8","1",0,"n",0,0.0872528672401257,3.2,14.6,25,5
"256","14.3","1",0,"n",0,0.0876605887090218,3.2,14.8,25,5
"257","15.7","1",0,"n",0,0.0880628766582852,3.2,14.8,25,5
"258","17.1","1",0,"n",0,0.0971426106991242,3,15.3,24,5
"259","18.6","1",0,"n",0,0.0975556392990267,3,15.3,24,5
"260","20","1",0,"n",0,0.0979632741374501,3,15.3,24,5
"261","7.1","2",0.388888888888889,"n",0.291666666666667,0.0940885205547914,3,14.4,24,5
"262","8.5","2",0.368421052631579,"n",0.28,0.0859956972239847,3.2,14.3,25,5
"263","10","2",0.368421052631579,"n",0.28,0.0864205672705489,3.2,14.3,25,5
"264","11.4","2",0.368421052631579,"n",0.28,0.0868395744377862,3.2,14.4,25,5
"265","12.8","2",0.368421052631579,"n",0.28,0.0872528672401257,3.2,14.6,25,5
"266","14.3","2",0.368421052631579,"n",0.28,0.0876605887090218,3.2,14.8,25,5
"267","15.7","2",0.368421052631579,"n",0.28,0.0880628766582852,3.2,14.8,25,5
"268","17.1","2",0.388888888888889,"n",0.291666666666667,0.0971426106991242,3,15.3,24,5
"269","18.6","2",0.388888888888889,"n",0.291666666666667,0.0975556392990267,3,15.3,24,5
"270","20","2",0.388888888888889,"n",0.291666666666667,0.0979632741374501,3,15.3,24,5
"271","7.1","0",0,"a",0,0.0940885205547914,3,14.4,24,5
"272","8.5","0",0,"a",0,0.0859956972239847,3.2,14.3,25,5
"273","10","0",0,"a",0,0.0864205672705489,3.2,14.3,25,5
"274","11.4","0",0,"a",0,0.0868395744377862,3.2,14.4,25,5
"275","12.8","0",0,"a",0,0.0872528672401257,3.2,14.6,25,5
"276","14.3","0",0,"a",0,0.0876605887090218,3.2,14.8,25,5
"277","15.7","0",0,"a",0,0.0880628766582852,3.2,14.8,25,5
"278","17.1","0",0,"a",0,0.0971426106991242,3,15.3,24,5
"279","18.6","0",0,"a",0,0.0975556392990267,3,15.3,24,5
"280","20","0",0,"a",0,0.0979632741374501,3,15.3,24,5
"281","7.1","1",0.166666666666667,"a",0.0416666666666667,0.0940885205547914,3,14.4,24,5
"282","8.5","1",0.166666666666667,"a",0.04,0.0859956972239847,3.2,14.3,25,5
"283","10","1",0.166666666666667,"a",0.04,0.0864205672705489,3.2,14.3,25,5
"284","11.4","1",0.166666666666667,"a",0.04,0.0868395744377862,3.2,14.4,25,5
"285","12.8","1",0.166666666666667,"a",0.04,0.0872528672401257,3.2,14.6,25,5
"286","14.3","1",0.166666666666667,"a",0.04,0.0876605887090218,3.2,14.8,25,5
"287","15.7","1",0.166666666666667,"a",0.04,0.0880628766582852,3.2,14.8,25,5
"288","17.1","1",0.166666666666667,"a",0.0416666666666667,0.0971426106991242,3,15.3,24,5
"289","18.6","1",0.166666666666667,"a",0.0416666666666667,0.0975556392990267,3,15.3,24,5
"290","20","1",0.166666666666667,"a",0.0416666666666667,0.0979632741374501,3,15.3,24,5
"291","7.1","2",0.833333333333333,"a",0.208333333333333,0.0940885205547914,3,14.4,24,5
"292","8.5","2",0.833333333333333,"a",0.2,0.0859956972239847,3.2,14.3,25,5
"293","10","2",0.833333333333333,"a",0.2,0.0864205672705489,3.2,14.3,25,5
"294","11.4","2",0.833333333333333,"a",0.2,0.0868395744377862,3.2,14.4,25,5
"295","12.8","2",0.833333333333333,"a",0.2,0.0872528672401257,3.2,14.6,25,5
"296","14.3","2",0.833333333333333,"a",0.2,0.0876605887090218,3.2,14.8,25,5
"297","15.7","2",0.833333333333333,"a",0.2,0.0880628766582852,3.2,14.8,25,5
"298","17.1","2",0.833333333333333,"a",0.208333333333333,0.0971426106991242,3,15.3,24,5
"299","18.6","2",0.833333333333333,"a",0.208333333333333,0.0975556392990267,3,15.3,24,5
"300","20","2",0.833333333333333,"a",0.208333333333333,0.0979632741374501,3,15.3,24,5
"301","7.1","0",0.565217391304348,"n",0.5,0.0806808845809321,3.6,13.8,26,6
"302","8.5","0",0.565217391304348,"n",0.5,0.0811034392676126,3.6,14,26,6
"303","10","0",0.565217391304348,"n",0.5,0.0815201759258545,3.6,14,26,6
"304","11.4","0",0.565217391304348,"n",0.5,0.0819312420543453,3.6,14.1,26,6
"305","12.8","0",0.565217391304348,"n",0.5,0.0823367796940113,3.6,14.3,26,6
"306","14.3","0",0.545454545454545,"n",0.48,0.0908909268569973,3.4,14.8,25,6
"307","15.7","0",0.545454545454545,"n",0.48,0.091308009057923,3.5,14.8,25,6
"308","17.1","0",0.523809523809524,"n",0.458333333333333,0.100722300086251,3.3,15.3,24,6
"309","18.6","0",0.545454545454545,"n",0.48,0.0921258190610507,3.5,15,25,6
"310","20","0",0.545454545454545,"n",0.48,0.0925268078435809,3.5,15,25,6
"311","7.1","1",0.0434782608695652,"n",0.0384615384615385,0.0806808845809321,3.6,13.8,26,6
"312","8.5","1",0.0434782608695652,"n",0.0384615384615385,0.0811034392676126,3.6,14,26,6
"313","10","1",0.0434782608695652,"n",0.0384615384615385,0.0815201759258545,3.6,14,26,6
"314","11.4","1",0.0434782608695652,"n",0.0384615384615385,0.0819312420543453,3.6,14.1,26,6
"315","12.8","1",0.0434782608695652,"n",0.0384615384615385,0.0823367796940113,3.6,14.3,26,6
"316","14.3","1",0.0454545454545455,"n",0.04,0.0908909268569973,3.4,14.8,25,6
"317","15.7","1",0.0454545454545455,"n",0.04,0.091308009057923,3.5,14.8,25,6
"318","17.1","1",0.0476190476190476,"n",0.0416666666666667,0.100722300086251,3.3,15.3,24,6
