"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","N"
"122","8.5","0",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"123","10","0",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"124","11.4","0",0.5,"n",0.444444444444444,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"125","12.8","0",0.454545454545455,"n",0.4,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"126","14.3","0",0.4,"n",0.347826086956522,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"127","15.7","0",0.538461538461538,"n",0.482758620689655,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"128","17.1","0",0.545454545454545,"n",0.461538461538462,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"129","18.6","0",0.733333333333333,"n",0.628571428571429,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"130","20","0",0.675675675675676,"n",0.625,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"131","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5
"132","8.5","1",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"133","10","1",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"134","11.4","1",0.208333333333333,"n",0.185185185185185,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"135","12.8","1",0.227272727272727,"n",0.2,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"136","14.3","1",0.25,"n",0.217391304347826,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"137","15.7","1",0.153846153846154,"n",0.137931034482759,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"138","17.1","1",0.0909090909090909,"n",0.0769230769230769,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"139","18.6","1",0.0333333333333333,"n",0.0285714285714286,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"140","20","1",0.135135135135135,"n",0.125,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"141","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5
"142","8.5","2",0.411764705882353,"n",0.35,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"143","10","2",0.5,"n",0.421052631578947,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"144","11.4","2",0.291666666666667,"n",0.259259259259259,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"145","12.8","2",0.318181818181818,"n",0.28,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"146","14.3","2",0.35,"n",0.304347826086957,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"147","15.7","2",0.307692307692308,"n",0.275862068965517,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"148","17.1","2",0.363636363636364,"n",0.307692307692308,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"149","18.6","2",0.233333333333333,"n",0.2,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"150","20","2",0.189189189189189,"n",0.175,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"151","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5
"152","8.5","0",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"153","10","0",0,"a",0,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"154","11.4","0",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"155","12.8","0",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"156","14.3","0",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"157","15.7","0",0,"a",0,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"158","17.1","0",0,"a",0,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"159","18.6","0",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"160","20","0",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"161","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5
"162","8.5","1",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"163","10","1",0.333333333333333,"a",0.0526315789473684,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"164","11.4","1",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"165","12.8","1",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"166","14.3","1",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"167","15.7","1",0.333333333333333,"a",0.0344827586206897,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"168","17.1","1",0.25,"a",0.0384615384615385,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"169","18.6","1",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"170","20","1",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"171","7.1","2",1,"a",0.208333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,0.5
"172","8.5","2",1,"a",0.15,0.146421904542962,1.4,21.2,20,0.0786203689154736,0.5
"173","10","2",0.666666666666667,"a",0.105263157894737,0.165770478707071,1.1,24.1,19,0.104828335740565,0.5
"174","11.4","2",1,"a",0.111111111111111,0.0877406269739273,4.2,22.7,27,0.124208680632935,0.5
"175","12.8","2",1,"a",0.12,0.10711770591472,3.9,26.3,25,0.15642671783744,0.5
"176","14.3","2",1,"a",0.130434782608696,0.129430191417859,3.3,29.7,23,0.184258591645921,0.5
"177","15.7","2",0.666666666666667,"a",0.0689655172413793,0.0811353650406307,5.7,27.1,29,0.192587932536918,0.5
"178","17.1","2",0.75,"a",0.115384615384615,0.106738247744405,4.8,31.4,26,0.217550925851053,0.5
"179","18.6","2",1,"a",0.142857142857143,0.0538198960616797,9.5,24.5,35,0.21088187286358,0.5
"180","20","2",1,"a",0.075,0.0368805051294322,12.3,20.1,40,0.21088187286358,0.5
"181","7.1","0",0,"n",0,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"182","8.5","0",0,"n",0,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
"183","10","0",0,"n",0,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"184","11.4","0",0,"n",0,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"185","12.8","0",0,"n",0,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"186","14.3","0",0.375,"n",0.107142857142857,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"187","15.7","0",0,"n",0,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"188","17.1","0",0,"n",0,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"189","18.6","0",0,"n",0,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"190","20","0",0,"n",0,0.00931282989546078,24,0,59,0.165145077782046,0.7
"191","7.1","1",0,"n",0,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"192","8.5","1",0.6,"n",0.111111111111111,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
"193","10","1",0.6,"n",0.12,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"194","11.4","1",0.6,"n",0.142857142857143,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"195","12.8","1",0,"n",0,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"196","14.3","1",0,"n",0,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"197","15.7","1",0.2,"n",0.0333333333333333,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"198","17.1","1",0.2,"n",0.0384615384615385,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"199","18.6","1",0.2,"n",0.0277777777777778,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"200","20","1",0.2,"n",0.0169491525423729,0.00931282989546078,24,0,59,0.165145077782046,0.7
"201","7.1","2",1,"n",0.2,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"202","8.5","2",0.4,"n",0.0740740740740741,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
"203","10","2",0.4,"n",0.08,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"204","11.4","2",0.4,"n",0.0952380952380952,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"205","12.8","2",1,"n",0.2,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"206","14.3","2",0.625,"n",0.178571428571429,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"207","15.7","2",0.8,"n",0.133333333333333,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"208","17.1","2",0.8,"n",0.153846153846154,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"209","18.6","2",0.8,"n",0.111111111111111,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"210","20","2",0.8,"n",0.0677966101694915,0.00931282989546078,24,0,59,0.165145077782046,0.7
"211","7.1","0",0.6,"a",0.48,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"212","8.5","0",0.590909090909091,"a",0.481481481481481,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
"213","10","0",0.55,"a",0.44,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"214","11.4","0",0.4375,"a",0.333333333333333,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"215","12.8","0",0.6,"a",0.48,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"216","14.3","0",0.6,"a",0.428571428571429,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"217","15.7","0",0.68,"a",0.566666666666667,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"218","17.1","0",0.619047619047619,"a",0.5,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"219","18.6","0",0.741935483870968,"a",0.638888888888889,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"220","20","0",0.851851851851852,"a",0.779661016949153,0.00931282989546078,24,0,59,0.165145077782046,0.7
"221","7.1","1",0.05,"a",0.04,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"222","8.5","1",0,"a",0,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
"223","10","1",0,"a",0,0.101647663190564,2.8,21.9,25,0.101598148942839,0.7
"224","11.4","1",0,"a",0,0.14906795796314,2.2,26.4,21,0.137256635097068,0.7
"225","12.8","1",0.05,"a",0.04,0.113081006125774,3.8,26.1,25,0.153715160504045,0.7
"226","14.3","1",0.05,"a",0.0357142857142857,0.0906440749767478,4.8,26,28,0.171671818550309,0.7
"227","15.7","1",0,"a",0,0.0794715129010736,5.8,26.1,30,0.187280491497631,0.7
"228","17.1","1",0,"a",0,0.111948448715234,4.7,31.2,26,0.216165370515567,0.7
"229","18.6","1",0,"a",0,0.0513913734776008,10.3,23.7,36,0.21088187286358,0.7
"230","20","1",0,"a",0,0.00931282989546078,24,0,59,0.165145077782046,0.7
"231","7.1","2",0.35,"a",0.28,0.0922820804289162,2.5,17.3,25,0.0581388249819421,0.7
"232","8.5","2",0.409090909090909,"a",0.333333333333333,0.0823237120771378,2.9,18.6,27,0.0736545834223382,0.7
