"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","yn"
"1","7.1","0",0.785714285714286,"n",0.745762711864407,0.424145261584047,10,0,59,0.1
"2","8.5","0",0.785714285714286,"n",0.745762711864407,0.424878855551232,10,0,59,0.1
"3","10","0",0.785714285714286,"n",0.745762711864407,0.425599848043941,10,0,59,0.1
"4","11.4","0",0.785714285714286,"n",0.745762711864407,0.426308617687383,10,0,59,0.1
"5","12.8","0",0.785714285714286,"n",0.745762711864407,0.427005526940244,10,0,59,0.1
"6","14.3","0",0.785714285714286,"n",0.745762711864407,0.427690922985143,10,0,59,0.1
"7","15.7","0",0.767857142857143,"n",0.728813559322034,0.426818106797805,10.6,0,59,0.1
"8","17.1","0",0.767857142857143,"n",0.728813559322034,0.427479079193797,10.6,0,59,0.1
"9","18.6","0",0.767857142857143,"n",0.728813559322034,0.428129534228506,10.6,0,59,0.1
"10","20","0",0.767857142857143,"n",0.728813559322034,0.428769764701016,10.6,0,59,0.1
"11","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.424145261584047,10,0,59,0.1
"12","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.424878855551232,10,0,59,0.1
"13","10","1",0.0714285714285714,"n",0.0677966101694915,0.425599848043941,10,0,59,0.1
"14","11.4","1",0.0714285714285714,"n",0.0677966101694915,0.426308617687383,10,0,59,0.1
"15","12.8","1",0.0714285714285714,"n",0.0677966101694915,0.427005526940244,10,0,59,0.1
"16","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.427690922985143,10,0,59,0.1
"17","15.7","1",0.125,"n",0.11864406779661,0.426818106797805,10.6,0,59,0.1
"18","17.1","1",0.125,"n",0.11864406779661,0.427479079193797,10.6,0,59,0.1
"19","18.6","1",0.125,"n",0.11864406779661,0.428129534228506,10.6,0,59,0.1
"20","20","1",0.125,"n",0.11864406779661,0.428769764701016,10.6,0,59,0.1
"21","7.1","2",0.142857142857143,"n",0.135593220338983,0.424145261584047,10,0,59,0.1
"22","8.5","2",0.142857142857143,"n",0.135593220338983,0.424878855551232,10,0,59,0.1
"23","10","2",0.142857142857143,"n",0.135593220338983,0.425599848043941,10,0,59,0.1
"24","11.4","2",0.142857142857143,"n",0.135593220338983,0.426308617687383,10,0,59,0.1
"25","12.8","2",0.142857142857143,"n",0.135593220338983,0.427005526940244,10,0,59,0.1
"26","14.3","2",0.142857142857143,"n",0.135593220338983,0.427690922985143,10,0,59,0.1
"27","15.7","2",0.107142857142857,"n",0.101694915254237,0.426818106797805,10.6,0,59,0.1
"28","17.1","2",0.107142857142857,"n",0.101694915254237,0.427479079193797,10.6,0,59,0.1
"29","18.6","2",0.107142857142857,"n",0.101694915254237,0.428129534228506,10.6,0,59,0.1
"30","20","2",0.107142857142857,"n",0.101694915254237,0.428769764701016,10.6,0,59,0.1
"31","7.1","0",0,"a",0,0.424145261584047,10,0,59,0.1
"32","8.5","0",0,"a",0,0.424878855551232,10,0,59,0.1
"33","10","0",0,"a",0,0.425599848043941,10,0,59,0.1
