"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"51","7.1","2",0.12962962962963,"a",0.11864406779661,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"52","8.5","2",0.12962962962963,"a",0.11864406779661,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"53","10","2",0.12962962962963,"a",0.11864406779661,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"54","11.4","2",0.12962962962963,"a",0.11864406779661,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"55","12.8","2",0.12962962962963,"a",0.11864406779661,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"56","14.3","2",0.12962962962963,"a",0.11864406779661,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"57","15.7","2",0.12962962962963,"a",0.11864406779661,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"58","17.1","2",0.12962962962963,"a",0.11864406779661,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"59","18.6","2",0.12962962962963,"a",0.11864406779661,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"60","20","2",0.12962962962963,"a",0.11864406779661,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"61","7.1","0",0,"n",0,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"62","8.5","0",0.166666666666667,"n",0.037037037037037,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"63","10","0",0,"n",0,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"64","11.4","0",0,"n",0,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"65","12.8","0",0,"n",0,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
"66","14.3","0",0,"n",0,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"67","15.7","0",0,"n",0,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"68","17.1","0",0,"n",0,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"69","18.6","0",0,"n",0,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"70","20","0",0,"n",0,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"71","7.1","1",0,"n",0,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"72","8.5","1",0,"n",0,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"73","10","1",0,"n",0,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"74","11.4","1",0,"n",0,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"75","12.8","1",0,"n",0,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
"76","14.3","1",0,"n",0,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"77","15.7","1",0,"n",0,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"78","17.1","1",0,"n",0,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"79","18.6","1",0,"n",0,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"80","20","1",0.2,"n",0.0277777777777778,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"81","7.1","2",1,"n",0.217391304347826,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"82","8.5","2",0.833333333333333,"n",0.185185185185185,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"83","10","2",1,"n",0.217391304347826,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"84","11.4","2",1,"n",0.208333333333333,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"85","12.8","2",1,"n",0.178571428571429,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
"86","14.3","2",1,"n",0.192307692307692,0.143426363255294,2.7,24.6,26,0.140012256199518,0.3,1,3.33333333333333
"87","15.7","2",1,"n",0.161290322580645,0.106176637283824,4.4,22.7,31,0.148256093072167,0.3,1,3.33333333333333
"88","17.1","2",1,"n",0.138888888888889,0.0795294359305904,6.6,19.7,36,0.15235449509957,0.3,1,3.33333333333333
"89","18.6","2",1,"n",0.151515151515152,0.0987459818743208,5.1,24.1,33,0.187280491497631,0.3,1,3.33333333333333
"90","20","2",0.8,"n",0.111111111111111,0.0823232544282891,5.9,21.9,36,0.187280491497631,0.3,1,3.33333333333333
"91","7.1","0",0.444444444444444,"a",0.347826086956522,0.138283636880251,1.3,17.3,23,0.0528119323547036,0.3,1,3.33333333333333
"92","8.5","0",0.428571428571429,"a",0.333333333333333,0.100325415305565,2.8,18.6,27,0.0736545834223382,0.3,1,3.33333333333333
"93","10","0",0.5,"a",0.391304347826087,0.15418895482732,2,22.6,23,0.101598148942839,0.3,1,3.33333333333333
"94","11.4","0",0.526315789473684,"a",0.416666666666667,0.151581793438641,2.2,22.6,24,0.104828335740565,0.3,1,3.33333333333333
"95","12.8","0",0.652173913043478,"a",0.535714285714286,0.121920310458511,3.1,21.6,28,0.112063315447455,0.3,1,3.33333333333333
