"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qn"
"45","12.8","1",0,"a",0,0.136401163207502,1.4,16.1,20,0.5
"46","14.3","1",0,"a",0,0.138572050499249,1.3,16.3,20,0.5
"47","15.7","1",0.2,"a",0.05,0.142474983830089,1.1,16.3,20,0.5
"48","17.1","1",0.2,"a",0.0526315789473684,0.157023574093237,1,16.7,19,0.5
"49","18.6","1",0.166666666666667,"a",0.0476190476190476,0.129125675199706,1.4,16.2,21,0.5
"50","20","1",0.2,"a",0.0476190476190476,0.131170045673464,1.2,16.2,21,0.5
"51","7.1","2",0.666666666666667,"a",0.380952380952381,0.116368825036374,1.9,15.3,21,0.5
"52","8.5","2",0.666666666666667,"a",0.380952380952381,0.116860976361726,1.9,15.5,21,0.5
"53","10","2",0.7,"a",0.35,0.132132262658947,1.6,15.7,20,0.5
"54","11.4","2",0.636363636363636,"a",0.333333333333333,0.119252433522394,1.8,15.6,21,0.5
"55","12.8","2",0.875,"a",0.35,0.136401163207502,1.4,16.1,20,0.5
"56","14.3","2",1,"a",0.35,0.138572050499249,1.3,16.3,20,0.5
"57","15.7","2",0.8,"a",0.2,0.142474983830089,1.1,16.3,20,0.5
"58","17.1","2",0.8,"a",0.210526315789474,0.157023574093237,1,16.7,19,0.5
"59","18.6","2",0.833333333333333,"a",0.238095238095238,0.129125675199706,1.4,16.2,21,0.5
"60","20","2",0.8,"a",0.19047619047619,0.131170045673464,1.2,16.2,21,0.5
"61","7.1","0",0.444444444444444,"n",0.19047619047619,0.116368825036374,2,15.3,21,0.6
"62","8.5","0",0.5,"n",0.238095238095238,0.118278926537477,1.9,15.5,21,0.6
"63","10","0",0.545454545454545,"n",0.3,0.133736466596882,1.6,15.7,20,0.6
"64","11.4","0",0.5,"n",0.3,0.135883989213905,1.5,15.9,20,0.6
"65","12.8","0",0.5,"n",0.3,0.136401163207502,1.5,16.1,20,0.6
"66","14.3","0",0.5,"n",0.35,0.140253370369263,1.3,16.3,20,0.6
"67","15.7","0",0.466666666666667,"n",0.35,0.142476020572097,1.2,16.3,20,0.6
"68","17.1","0",0.428571428571429,"n",0.3,0.141275530469039,1.3,16.5,20,0.6
"69","18.6","0",0.533333333333333,"n",0.380952380952381,0.129126614769805,1.4,16.2,21,0.6
"70","20","0",0.466666666666667,"n",0.35,0.143995569718019,1.2,16.5,20,0.6
"71","7.1","1",0.111111111111111,"n",0.0476190476190476,0.116368825036374,2,15.3,21,0.6
"72","8.5","1",0.1,"n",0.0476190476190476,0.118278926537477,1.9,15.5,21,0.6
"73","10","1",0.0909090909090909,"n",0.05,0.133736466596882,1.6,15.7,20,0.6
"74","11.4","1",0.0833333333333333,"n",0.05,0.135883989213905,1.5,15.9,20,0.6
