"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya","yn","yn_ya"
"59","18.6","2",0.0555555555555556,"a",0.0508474576271186,0.350670031578052,5.5,0,59,0.1,1,10
"60","20","2",0.0555555555555556,"a",0.0508474576271186,0.351304351956337,5.5,0,59,0.1,1,10
"61","7.1","0",0,"n",0,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"62","8.5","0",0,"n",0,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"63","10","0",0,"n",0,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"64","11.4","0",0,"n",0,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"65","12.8","0",0,"n",0,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"66","14.3","0",0,"n",0,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"67","15.7","0",0,"n",0,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"68","17.1","0",0,"n",0,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"69","18.6","0",0,"n",0,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"70","20","0",0,"n",0,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"71","7.1","1",0,"n",0,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"72","8.5","1",0,"n",0,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"73","10","1",0,"n",0,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"74","11.4","1",0,"n",0,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"75","12.8","1",0,"n",0,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"76","14.3","1",0,"n",0,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"77","15.7","1",0,"n",0,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"78","17.1","1",0,"n",0,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"79","18.6","1",0,"n",0,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"80","20","1",0,"n",0,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"81","7.1","2",1,"n",0.0847457627118644,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"82","8.5","2",1,"n",0.0847457627118644,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"83","10","2",1,"n",0.0847457627118644,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"84","11.4","2",1,"n",0.0847457627118644,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"85","12.8","2",1,"n",0.0847457627118644,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"86","14.3","2",1,"n",0.0847457627118644,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"87","15.7","2",1,"n",0.166666666666667,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"88","17.1","2",1,"n",0.161290322580645,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"89","18.6","2",1,"n",0.172413793103448,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"90","20","2",1,"n",0.161290322580645,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"91","7.1","0",0.777777777777778,"a",0.711864406779661,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"92","8.5","0",0.777777777777778,"a",0.711864406779661,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"93","10","0",0.777777777777778,"a",0.711864406779661,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"94","11.4","0",0.777777777777778,"a",0.711864406779661,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"95","12.8","0",0.777777777777778,"a",0.711864406779661,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"96","14.3","0",0.777777777777778,"a",0.711864406779661,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"97","15.7","0",0.56,"a",0.466666666666667,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"98","17.1","0",0.576923076923077,"a",0.483870967741935,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"99","18.6","0",0.541666666666667,"a",0.448275862068966,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"100","20","0",0.576923076923077,"a",0.483870967741935,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"101","7.1","1",0.166666666666667,"a",0.152542372881356,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"102","8.5","1",0.166666666666667,"a",0.152542372881356,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"103","10","1",0.166666666666667,"a",0.152542372881356,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"104","11.4","1",0.166666666666667,"a",0.152542372881356,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"105","12.8","1",0.166666666666667,"a",0.152542372881356,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"106","14.3","1",0.166666666666667,"a",0.152542372881356,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"107","15.7","1",0.28,"a",0.233333333333333,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"108","17.1","1",0.269230769230769,"a",0.225806451612903,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"109","18.6","1",0.291666666666667,"a",0.241379310344828,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"110","20","1",0.269230769230769,"a",0.225806451612903,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"111","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.106334971388147,5.5,0,59,0.3,1,3.33333333333333
"112","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.106789054098693,5.5,0,59,0.3,1,3.33333333333333
"113","10","2",0.0555555555555556,"a",0.0508474576271186,0.107236457925881,5.5,0,59,0.3,1,3.33333333333333
"114","11.4","2",0.0555555555555556,"a",0.0508474576271186,0.107677361262291,5.5,0,59,0.3,1,3.33333333333333
"115","12.8","2",0.0555555555555556,"a",0.0508474576271186,0.108111935595046,5.5,0,59,0.3,1,3.33333333333333
"116","14.3","2",0.0555555555555556,"a",0.0508474576271186,0.108540345854922,5.5,0,59,0.3,1,3.33333333333333
"117","15.7","2",0.16,"a",0.133333333333333,0.275703275713529,2.6,12.8,30,0.3,1,3.33333333333333
"118","17.1","2",0.153846153846154,"a",0.129032258064516,0.267700135878884,2.6,12.5,31,0.3,1,3.33333333333333
"119","18.6","2",0.166666666666667,"a",0.137931034482759,0.285842077646701,2.5,13.4,29,0.3,1,3.33333333333333
"120","20","2",0.153846153846154,"a",0.129032258064516,0.268904272357684,2.7,12.5,31,0.3,1,3.33333333333333
"121","7.1","0",0,"n",0,0.188216682122283,2.1,13.4,27,0.5,1,2
"122","8.5","0",0,"n",0,0.186557920155855,2.1,13.6,27,0.5,1,2
"123","10","0",0,"n",0,0.166202143577835,2.5,12.8,29,0.5,1,2
"124","11.4","0",0,"n",0,0.166749889711567,2.4,12.9,29,0.5,1,2
"125","12.8","0",0,"n",0,0.18072570480596,2.2,13.5,28,0.5,1,2
"126","14.3","0",0,"n",0,0.179108336010396,2.2,13.6,28,0.5,1,2
"127","15.7","0",0,"n",0,0.15966459820595,2.6,12.8,30,0.5,1,2
"128","17.1","0",0,"n",0,0.160168288524527,2.5,13,30,0.5,1,2
"129","18.6","0",0,"n",0,0.16936853851779,2.4,13.4,29,0.5,1,2
"130","20","0",0,"n",0,0.203807605631511,2,14.6,26,0.5,1,2
"131","7.1","1",0,"n",0,0.188216682122283,2.1,13.4,27,0.5,1,2
"132","8.5","1",0,"n",0,0.186557920155855,2.1,13.6,27,0.5,1,2
"133","10","1",0,"n",0,0.166202143577835,2.5,12.8,29,0.5,1,2
"134","11.4","1",0,"n",0,0.166749889711567,2.4,12.9,29,0.5,1,2
"135","12.8","1",0,"n",0,0.18072570480596,2.2,13.5,28,0.5,1,2
