"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"105","12.8","1",0.2,"a",0.0769230769230769,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"106","14.3","1",0.2,"a",0.0769230769230769,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"107","15.7","1",0,"a",0,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"108","17.1","1",0,"a",0,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
"109","18.6","1",0,"a",0,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"110","20","1",0,"a",0,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"111","7.1","2",1,"a",0.384615384615385,0.273950171129881,0,20,13,0.0607167373526208,0.7
"112","8.5","2",1,"a",0.384615384615385,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"113","10","2",1,"a",0.384615384615385,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"114","11.4","2",0.666666666666667,"a",0.133333333333333,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
"115","12.8","2",0.8,"a",0.307692307692308,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"116","14.3","2",0.8,"a",0.307692307692308,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"117","15.7","2",1,"a",0.384615384615385,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"118","17.1","2",1,"a",0.384615384615385,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
"119","18.6","2",1,"a",0.384615384615385,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"120","20","2",1,"a",0.384615384615385,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"121","7.1","0",0.529411764705882,"n",0.409090909090909,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"122","8.5","0",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"123","10","0",0.230769230769231,"n",0.176470588235294,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"124","11.4","0",0.375,"n",0.285714285714286,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"125","12.8","0",0.368421052631579,"n",0.318181818181818,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"126","14.3","0",0.142857142857143,"n",0.117647058823529,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"127","15.7","0",0.0769230769230769,"n",0.0625,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"128","17.1","0",0.375,"n",0.3,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"129","18.6","0",0.5,"n",0.380952380952381,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
"130","20","0",0.466666666666667,"n",0.35,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
"131","7.1","1",0,"n",0,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"132","8.5","1",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"133","10","1",0.230769230769231,"n",0.176470588235294,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"134","11.4","1",0.125,"n",0.0952380952380952,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"135","12.8","1",0.263157894736842,"n",0.227272727272727,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"136","14.3","1",0.357142857142857,"n",0.294117647058824,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"137","15.7","1",0.384615384615385,"n",0.3125,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"138","17.1","1",0.125,"n",0.1,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"139","18.6","1",0,"n",0,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
"140","20","1",0,"n",0,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
"141","7.1","2",0.470588235294118,"n",0.363636363636364,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"142","8.5","2",0.411764705882353,"n",0.35,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"143","10","2",0.538461538461538,"n",0.411764705882353,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"144","11.4","2",0.5,"n",0.380952380952381,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"145","12.8","2",0.368421052631579,"n",0.318181818181818,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"146","14.3","2",0.5,"n",0.411764705882353,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"147","15.7","2",0.538461538461538,"n",0.4375,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"148","17.1","2",0.5,"n",0.4,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"149","18.6","2",0.5,"n",0.380952380952381,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
"150","20","2",0.533333333333333,"n",0.4,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
"151","7.1","0",0,"a",0,0.120047698538713,1.8,18.2,22,0.0591418068395686,0.9
"152","8.5","0",0,"a",0,0.146421904542962,1.4,21.2,20,0.0793381117687019,0.9
"153","10","0",0,"a",0,0.199976122097846,0.799999999999999,24.7,17,0.105773758897414,0.9
"154","11.4","0",0,"a",0,0.141430555214629,2.2,25.9,21,0.134313183764487,0.9
"155","12.8","0",0,"a",0,0.13724022551097,3,27.8,22,0.161886922283072,0.9
"156","14.3","0",0,"a",0,0.212197490247693,1.5,32.7,17,0.193104500331215,0.9
"157","15.7","0",0,"a",0,0.234153181429516,1.2,35.4,16,0.213714280481563,0.9
"158","17.1","0",0,"a",0,0.173374675507704,2.5,35.2,20,0.226067080768585,0.9
"159","18.6","0",0,"a",0,0.164873281098115,3.1,36.8,21,0.238583607637189,0.9
"160","20","0",0,"a",0,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
